 [1] "field dreams almost defies description "                                                                                                    
 [2] "although baseball baseball movie "                                                                                                          
 [3] "although film extremely spiritual religion "                                                                                                
 [4] " although field dreams melodramatic tearjerker "                                                                                            
 [5] " really understand field dreams see "                                                                                                       
 [6] " film kevin costner plays ray kinsella baseball fan s berkeley graduate iowa farmer "                                                       
 [7] "one day standing middle expansive corn fields ray hears voice tells build will come "                                                       
 [8] " ray vision somehow concludes builds baseball field middle corn shoeless joe jackson will arise dead play ball "                            
 [9] " even though depletes familys savings neighbors think hes crazy ray clears away corn builds baseball field complete bleachers flood lights "
[10] " build will come "                                                                                                                          
[11] " lo behold shoeless joe comebringing several dead teammates "                                                                               
[12] " ray hears voice tells ease pain "                                                                                                          
[13] "ray thinks means must travel boston meet terence mann influential radical novelist s since stopped writing dropped society "                
[14] " great aplomb james earl jones plays disillusioned author joins forces ray embarks magical spiritual journey "                              
[15] " cast field dreams excellent especially kevin costner lead role "                                                                           
[16] "costner gives quiet subtle moving performance man building baseball field done nothing crazy spontaneous entire life "                      
[17] "costner gives ray just right mix enthusiasm idealism make us believe mystic visions swallow wondrous fairy tale "                           
[18] "amy madigan gives fine supporting performance rays feisty loving wife better judgement supports husbands crazy ideas "                      
[19] " impressive scene madigan vehemently argues book burning p t "                                                                              
[20] "meeting displaying sincere passion s berkeley radical "                                                                                     
[21] "ray liotta appropriately eerie aweinspiring ghost shoeless joe legendary batter suspended baseball involvement chicago black sox scandal "  
[22] " finally burt lancaster memorable small important role small town doctor whose professional baseball career limited one inning "            
[23] "field dreams touching fairy tale full life wonder mystery spirit humor "                                                                    
[24] " part succeeds capturing emotions suspending disbelief "                                                                                    
[25] "ray kinsellas spiritual quest pursuit dreams proves moving miraculous "                                                                     
[26] " field dreams generally avoids excessive melodrama unfortunately times go overboard end gets downright sappy "                              
[27] " general however field dreams emotionally satisfying fantasyone can recommend everyone unromantic cynics "                                  
