 [1] " thought "                                                                                                   
 [2] "jim carrey drama "                                                                                           
 [3] " first saw advertisement truman show thought hilarious idea movie "                                          
 [4] "however even better premise drama "                                                                          
 [5] " truman show takes us world revolves around one man "                                                        
 [6] " man truman burbank jim carrey "                                                                             
 [7] "truman clue really going world frankly cristof wants keep way "                                              
 [8] "christof god madeup world "                                                                                  
 [9] " keeps everything running gives actors roles "                                                               
[10] " attempts tell truman world failed life went normal "                                                        
[11] " opening parts film introduce trumans world "                                                                
[12] " see current age get flashback past "                                                                        
[13] " may seem tad boring intriguing will fall love film right start "                                            
[14] " film can described one word weird "                                                                         
[15] " seems like simple idea yet something majority us never think andrew niccol "                                
[16] " seems like warped idea andrews idea wonders "                                                               
[17] "jim carrey actually lived hype "                                                                             
[18] " hype whether good bad always focused carreys ability drama "                                                
[19] " one doubted extraordinary film thing doubted carrey "                                                       
[20] " showed "                                                                                                    
[21] "jim carrey snubbed oscars "                                                                                  
[22] " think best actor deserved nomination "                                                                      
[23] " plays truman burbank unsuspecting star popular television show world "                                      
[24] " lived normal life almost thirty years strange things start happening "                                      
[25] " ventures wrong elevator "                                                                                   
[26] " light crashes front "                                                                                       
[27] " father comes back pulled away "                                                                             
[28] " constantly teased know show truman "                                                                        
[29] " just constant progression never gets sluggish "                                                             
[30] "carrey able shed comedy play major role major drama "                                                        
[31] "laura linney magnificent camera hungry wife "                                                                
[32] " plays role advertiser budding star point "                                                                  
[33] "peter weir make cast perfect flaws eventually lead trumans escape "                                          
[34] " story unfolds show becomes big everything crashes "                                                         
[35] "despite carreys greatness best performance truman show undoubtedly turned ed harris plays god trumans world "
[36] " displays pressure world created "                                                                           
[37] " becomes paranoid believes god truman thank sham life "                                                      
[38] " action moves good pace rarely gets sluggish "                                                               
[39] " main point film looks like television show "                                                                
[40] " really makes think "                                                                                        
[41] "maybe brother actor maybe best friend heated contract negotiations stay show "                               
[42] " best parts film truman ventures wrong elevator sees cast members drinking coffee talking "                  
[43] " truman tunes wrong station hears orders said trumans arrival "                                              
[44] " christof focuses truman cues dramatic music marlon noah emmerich delivers dramatic line "                   
[45] " ideas just perfect film extremely innovative "                                                              
[46] " enjoying film overwhelmed genius "                                                                          
[47] "overall truman show one freshest innovative films come hollywood "                                           
[48] "jim carrey shows just man million faces legitimate actor go one best "                                       
[49] "andrew niccol responsible screenplay peter weir pulled perfection "                                          
[50] " truman show must see anyone likes movies general will thoroughly impressed creative film "                  
