 [1] " reunion film original idea way shape form "                                                                                                                                                         
 [2] " done throughout film history become one many subgenres like prep school subgenre angstfilled teen subgenre slasher subgenre "                                                                       
 [3] " makes peters friends remarkable doesnt follow rules subgenre follows well creates characters wouldnt mind hanging "                                                                                 
 [4] " rules reunion subgenre "                                                                                                                                                                            
 [5] "well "                                                                                                                                                                                               
 [6] " need group friends married least dating sometimes even married dating eachother "                                                                                                                   
 [7] " need brought back together sort crisis "                                                                                                                                                            
 [8] " spoken together much since split apart "                                                                                                                                                            
 [9] " reunion come intervals divisible "                                                                                                                                                                  
[10] " slightly highly neurotic "                                                                                                                                                                          
[11] " reunion bring together seperate little crises bring back together theyre friends "                                                                                                                  
[12] " sex least making either friends people invited "                                                                                                                                                    
[13] " eightly theyre unhappy marginally "                                                                                                                                                                 
[14] " theres sort sexual tension amongst thats built years "                                                                                                                                              
[15] " friends wildly successful world entertainment arts sometimes internationally "                                                                                                                      
[16] " film filled nostalgic radio hits time friends sometimes causing get together dancesong "                                                                                                            
[17] "since follows rules closely will probably coined just british big chill "                                                                                                                            
[18] " ways "                                                                                                                                                                                              
[19] " follow rules said feature lots bitching big confessionals broken relationships "                                                                                                                    
[20] " big chill least tad whiny unsatisfying peters friends hits mark making film funny dramatic poignant "                                                                                               
[21] " friends peters theatre group back performig wildly outrageous british acts people far stuck enjoy opening scene dancing tux tops tutus "                                                            
[22] " peters stephen fry wealthy father richard briers hardly screen enough register oh well dies leaving giant mansion decide whether keep "                                                             
[23] " sure immeadiately decides throw giant reunion party inviting back old chums "                                                                                                                       
[24] " course chums follow tenth rule "                                                                                                                                                                    
[25] "andrew kenneth branagh also directing actor whos unhappily married tv star carol cowriter rita rudner "                                                                                              
[26] "maggie emma thompson successfuly publisher selfhelp books looks like needs customers lonely unhappy "                                                                                                
[27] "roger mary hugh laurie imelda staunton also married sense sensibility married successful creators jingles uk suffered tragedy one newly born twins recently died "                                   
[28] " sarah alphonsia emmanuel promiscuous ever new boyfriend two weeks named brian tony slattery whos married wants divorce giving doubts "                                                              
[29] " peter things seem okay "                                                                                                                                                                            
[30] " film features lots innerfriend jokes even old theatre anecdotes least find lot fun ive done lots theatre "                                                                                          
[31] " big confessions brawls friends end almost everyone unhappy even though resolved problems long end kinda dug "                                                                                       
[32] " final twist seem forced anticlimactic reason felt way rest friends "                                                                                                                                
[33] "maybe people film likable just wanted join clique "                                                                                                                                                  
[34] "thats really makes peters friends lovable way just want hang group friends can dysfuntional sometimes someones crisis can come together wonderfully one another "                                    
[35] " giant crisis like people want selflessly help instead subtely pushing away makes realize true friends people true friends "                                                                         
[36] " mention kenneth branagh able make film seem nostalgic s decade grew unfortunately without taking us outside s "                                                                                     
[37] " s classics anticlassics like tears fears everybody wants rule world unfortunately stupidfun s songs think ever s reunion film id put crap go gos song least good old come eileen british s talking "
[38] "oh well "                                                                                                                                                                                            
[39] " anyway direction pretty good although nothing amazing "                                                                                                                                             
[40] "branaghs forte really making shakespeare fresh magical least hes good making less ambiguous film like "                                                                                              
[41] " writing good rita rudner martin bregman lots good oneliners even really bad good puns mock fact andrew lives l peter cutting logs asks wood l andrew says hollywood punishment like "               
[42] " actors speaking movies better material though standout performances six friends well outsiders like slattery rudner phyllida law old housekeeper peters mansion "                                   
[43] " little note made hugh lauries performance looks like took massive doses prozac mean ive never seen actually act dramatically "                                                                      
[44] " peters friends really enjoyable film makes people like pine sort future reunion although dont know kind ill like people dont look forward high school reunion "                                     
[45] " way friends still able maintain amount care one another long period seperation just look forward day can friends like "                                                                             
