 [1] " first heard scream told spoof horror movies "                                                                                                                                                               
 [2] " master horror wes craven ridiculed cliches genre overemphasizing making teenagers know theyre supposed serial killer stalking dont run stairs can easily go front door never say ill right back etc "       
 [3] " first heard description figured easy way making bad movie "                                                                                                                                                 
 [4] " hard make extremely terrible film claim actually mockery bad movies "                                                                                                                                       
 [5] " wes cravens remedy making real bad movies vampires brooklyn "                                                                                                                                               
 [6] " just seemed cheap "                                                                                                                                                                                         
 [7] " actually saw movie first twenty minutes involving drew barrymore nailbitingly intense phone conversation completely changed attitude "                                                                      
 [8] "scream clever parody standard horror flick also pretty scary movie "                                                                                                                                         
 [9] " youve seen million kinds films know exactly going happen "                                                                                                                                                  
[10] " part fun watching scream "                                                                                                                                                                                  
[11] " movie reminds avid horror fans similar repetitive genre also reminds great guilty pleasure can watch pointless predictable violence innocent attractive teenagers "                                         
[12] " rarely see types movies scream thrilling unpredictable ride mistaken serious slasher film "                                                                                                                 
[13] "theres nothing wrong misjudgment though "                                                                                                                                                                    
[14] " witnessed viewers sides audience newbies horror fanatics "                                                                                                                                                  
[15] " opinions film different positive "                                                                                                                                                                          
[16] " varied reviews convinced scream revived teen horror movie normal teen romance movies also hilarious parodies categories "                                                                                   
[17] "films deride celebrate genres like galaxy quest big hit existed opinion outstanding success scream "                                                                                                         
[18] " low budget gem may alongside pulp fiction influential film s "                                                                                                                                              
[19] " influence may exist chagrin moviegoers despise movies like teaching mrs tingle television programs dawsons creek others congratulate movie opened new doors excellent young actors screenwriters directors "
[20] "scream also extremely funny movie thanks quicklypaced script kevin williamson "                                                                                                                              
[21] "within film characters tell characters well audience basic rules cliches horror movie "                                                                                                                      
[22] "mainly rants randy jamie kennedy stu matthew lillard reminded obvious hilarious rules also subtle stereotypes thought mostly true well virgin always survives sex youre dead meat "                          
[23] " treated rules plate also rules referenced number different films actors "                                                                                                                                   
[24] " script feels like obsessive essay college film geek nothing better find every little blunder every little film selfsatisfaction "                                                                           
[25] " case williamson finds errors audiences satisfaction amusement "                                                                                                                                             
[26] " hear new movie coming called scary movie spoof scream spoof scary movies "                                                                                                                                  
[27] " will certainly see film feeling parody will obviously ridiculing genre rather screams perfect subtlety "                                                                                                    
[28] "however last gut feeling stuff scream dead wrong "                                                                                                                                                           
[29] " knows "                                                                                                                                                                                                     
