 [1] " sweet hereafter serve textbook example difference television movies real movies "                                                                                
 [2] "consider moment television producer book features fatal school bus accident lawyer sign bereaved lots hot sensationalism interrupted breaks sell beer toothpaste "
 [3] "topflight writer director atom egoyan delivers instead film tremendous power whose notable trait touching subtlety "                                              
 [4] "based respected book name author russell banks movie represents rethinking storys structure merely literal adaptation novel "                                     
 [5] "told linear form four narrators book egoyans version happens instead overlapping time sequences without narrator "                                                
 [6] " author even record applauding egoyans changes "                                                                                                                  
 [7] " press notes books author describes story parable lost children "                                                                                                 
 [8] " says asks town absence children "                                                                                                                                
 [9] "picking egoyan flashback sitter nicole burnell played grace sarah polley reads parts pied piper old illustrated book two charges "                                
[10] "periodically throughout picture nicoles readings heard voiceover "                                                                                                
[11] " never heard moving poem read sweetly appropriate moment "                                                                                                        
[12] " rest towns children come harms way live others seriously injured "                                                                                               
[13] " entire small canadian town accident occurs never "                                                                                                               
[14] "although physical damage inflicted mainly children adults bear emotional scars loss "                                                                             
[15] "ian holm arguably best performance distinguished career plays mitchell stephens intense man quiet misery "                                                        
[16] "mitchell outsider story set small snowencrusted community british columbian wilderness "                                                                          
[17] " mission singular one sign parents can sue someone anyone behalf "                                                                                                
[18] " seems crass well mitchell approaches job dedication religious zealot "                                                                                           
[19] " story unfolds slowly always believably "                                                                                                                         
[20] " little aspect fascination "                                                                                                                                      
[21] " mitchell interviews wendell rita walker played quiet realism maury chaykin alberta watson simple task "                                                          
[22] " wants suggest model couple village lost child can use couple form basis suit "                                                                                   
[23] "wendell ticks one town member another one can small town enumerates persons numerous faults "                                                                     
[24] "although town peyton place people foibles "                                                                                                                       
[25] "one best parents town appears billy ansell bruce greenwood rides pickup behind school bus everyday just can wave goodbye kids "                                   
[26] "well single parent billys fault regularly scheduled trysts married rita "                                                                                         
[27] " confessions rita feelings loss one many heartfelt outpourings story "                                                                                            
[28] " accident simple one bus hitting patch ice isnt shown middle picture nevertheless mystery builds throughout film "                                                
[29] "although picture detective story finding exactly happened subtheme movie primarily character study town gripped tragedy "                                         
[30] " injured bus driver gabrielle rose dolores driscoll plays role dedicated individual loves kids passion tragedy takes special meaning "                            
[31] " round story mitchell private tragedy bear "                                                                                                                      
[32] " daughter zoe caerthan banks drug addict bounced one halfway house recovery center another "                                                                      
[33] "fond calling dad cell phone can ask money help interrupts many emotionally charged moments attempts sign townsfolk "                                              
[34] " can help mitchell tries reassure billy "                                                                                                                         
[35] " unless can raise dead billy snaps back "                                                                                                                         
[36] "mitchells pitch never easy one worrying zoe makes harder "                                                                                                        
[37] "mychael dannas haunting music sets stage tragedy "                                                                                                                
[38] " cinematography paul sarossy sweeping outdoor grandeur warm shadowy intimate moments indoors works best "                                                         
[39] " show ripe emotional manipulation never plays audience "                                                                                                          
[40] "still house lights go may feel "                                                                                                                                  
[41] " barely breathe overcome sum total witnessed "                                                                                                                    
[42] " anything film like master painting "                                                                                                                             
[43] " cinematic brush stroke carefully laid egoyan beauty building dollop paint "                                                                                      
[44] " final color place masterpiece complete ending credits roll "                                                                                                     
[45] " sweet hereafter runs "                                                                                                                                           
[46] " rated r mature themes sexuality profanity fine teenagers "                                                                                                       
