 [1] " easy see late stanley kubrick believed steven spielberg perfect director "                                                                           
 [2] "artificial intelligence just understandable spielberg attracted material "                                                                            
 [3] " another lost boy trying find way home outcast seeking family themes familiar spielbergs body work sugarland express close encounters third kind e t "
 [4] " empire sun hook saving private ryan naming just examples "                                                                                           
 [5] " set undefined near future giant technological advances led creation robots serve every purpose housekeeping fulfilling sexual fantasies "            
 [6] " era robots treated merely sophisticated appliances "                                                                                                 
 [7] " last great leap robotic evolution addition emotions number births limited government many couples yearning children "                                
 [8] " professor hobby william hurt solution "                                                                                                              
 [9] " robotic boy named david haley joel osment programmed love "                                                                                          
[10] " test david placed henry swinton sam robards wife monica frances oconnor "                                                                            
[11] " naturalborn son cryogenically frozen cure can found illness "                                                                                        
[12] " first third "                                                                                                                                        
[13] "deals davids life swintons changed recovery return son martin "                                                                                       
[14] "circumstances force david cut swintons "                                                                                                              
[15] " abandoned alone "                                                                                                                                    
[16] "david highly influenced fairy tale pinocchio feels becomes real boy can rekindle monicas love "                                                       
[17] " films second act follows davids search blue fairy believes will able fulfill wish "                                                                  
[18] " adventures meets helped gigolo joe jude law robot specializes sex "                                                                                  
[19] "spielberg top form sequence offering brutal flesh fair robots destroyed via sadistic methods amusement paying customers "                             
[20] " kubricks influence strongly felt movie explores fear distrust humans robots "                                                                        
[21] " savagery conjures images late directors clockwork orange "                                                                                           
[22] " two hours minutes film begins falter last minutes sequence seems spielbergian images appear borrowed close encounters "                              
[23] " anticlimatic jarring "                                                                                                                               
[24] " scenes seem almost superfluous different film "                                                                                                      
[25] " dark fairy tale deserves pg rating "                                                                                                                 
[26] " story combining hope intolerance sacrifice bigotry coalesce perfectly movie offer disturbing images "                                                
[27] " "                                                                                                                                                    
[28] " really showcase acting talents amazing young osment "                                                                                                
[29] " ever actor deserved academy award nomination lad brings sense joy wonder role david created express purpose loving "                                 
[30] " shines monica beaming love eager puppy please "                                                                                                      
[31] " left woods confused lost hurt focusing one objective become real boy find way home can redeem mothers eyes "                                         
[32] "law pleasant carefree robot really doesnt understand davids quest nonetheless happy help journey "                                                    
[33] "probably toughest role oconnors monica "                                                                                                              
[34] "playing emotional fragile woman sees david substitute lost martin grows conflicted boy returns begins perceive david second chance threat family "    
[35] " gives character enough emotional chaos fault course action "                                                                                         
[36] "many s futuristic sets breathtaking especially mostly submerged new york lost world melting polar ice caps "                                          
[37] " flawed film get entire feature without pondering even subconsciously turned kubrick instead spielberg behind camera "                                
[38] " darker "                                                                                                                                             
[39] " cynical "                                                                                                                                            
[40] " will never know "                                                                                                                                    
[41] " can judge us screen collaboration two cinematic giants "                                                                                             
[42] " "                                                                                                                                                    
[43] " interesting thoughtprovoking examination future quickly gaining us "                                                                                 
