 [1] "heres word analogy amistad lost world schindlers list jurassic park "                                                                                                                                                                          
 [2] " steven spielberg made monster dino hit many critics described schindlers list directors penance need apologize making crowdpleasing blockbuster "                                                                                             
 [3] "now threeyear layoff spielberg back vengeance "                                                                                                                                                                                                
 [4] " summer release special effectsloaded actionadventure flick dinosaurs munching human appetizers "                                                                                                                                              
 [5] "now following pattern fashioned another serious inspirational christmas release nature humanity "                                                                                                                                              
 [6] " film amistad "                                                                                                                                                                                                                                
 [7] "although masterful schindlers list amistad nevertheless gripping motion picture "                                                                                                                                                              
 [8] "thematically rich impeccably crafted intellectually stimulating area movie falls little short emotional impact "                                                                                                                               
 [9] "watching schindlers list powerful almost spiritual experience "                                                                                                                                                                                
[10] "spielberg pulled us narrative absorbed us drama finally let us go exhausted shattered threeplus hours later "                                                                                                                                  
[11] "aspects movie stayed ever since "                                                                                                                                                                                                              
[12] "amistad fine example film making transcendent "                                                                                                                                                                                                
[13] " incident ship la amistad found history books considering writes texts thats surprise "                                                                                                                                                        
[14] "however event part american social legal fabric amistad adhere rigorously actual account basic facts order "                                                                                                                                   
[15] "several mostly minor changes made enhance films dramatic force "                                                                                                                                                                               
[16] " whole amistad may faithful details situation true spirit meaning transpired "                                                                                                                                                                 
[17] "one stormy night summer men imprisoned spanish slave ship la amistad escape "                                                                                                                                                                  
[18] "led lionhearted cinque djimon hounsou take control vessel killing crew "                                                                                                                                                                       
[19] "adrift somewhere coast cuba uncertain make way back africa rely two surviving spaniards navigate eastward journey "                                                                                                                            
[20] " tricked however la amistad makes way northward united states eastern coastline eventually captured american naval ship near connecticut "                                                                                                     
[21] " kidnapped africans shackled thrown prison charged murder piracy "                                                                                                                                                                             
[22] " first men come africans defense abolitionists theodore joadson morgan freeman lewis tappan stellan skarsgard "                                                                                                                                
[23] " soon joined roger baldwin matthew mcconaughey property attorney little repute "                                                                                                                                                               
[24] "aided advice former president john quincy adams anthony hopkins baldwin proves persuasive orator anyone gave credit central argument prisoners illegally kidnapped free men property convinces judge "                                         
[25] " powerful forces aligned baldwins cause "                                                                                                                                                                                                      
[26] "current president martin van buren nigel hawthorne eager please southern voters year old queen isabella spain anna paquin begins pulling strings behindthescenes ensure none africans goes free "                                              
[27] " heart amistad tale human courage "                                                                                                                                                                                                            
[28] "cinque heroic figure whose spirit remains unbreakable regardless pain indignity subjected "                                                                                                                                                    
[29] " free man slave recognizes may die result struggle will give "                                                                                                                                                                                 
[30] "effectively portrayed newcomer djimon hounsou whose passion screen presence arrest attention cinque key viewers seeing amistad africans symbols battle ideologies "                                                                            
[31] " individuals ability make distinction crucial movies success "                                                                                                                                                                                 
[32] " amplify point spielberg presents many scenes africans pointofview detailing occasionallyhumorous observations white mans seeminglystrange rituals "                                                                                           
[33] " larger struggle course one defining humanity "                                                                                                                                                                                                
[34] " nazis felt justified slaughtering jews viewed victims subhuman proslavery forces amistad use similar defense "                                                                                                                                
[35] " abolitionists regard africans men slavers supporters see animals property "                                                                                                                                                                   
[36] " sense morality slavery trial specter civil war break less three decades later looming everything "                                                                                                                                            
[37] "amistads presentation legal political intricacies surrounding trial fascinating making movie one engrossing courtroom dramas recent history "                                                                                                  
[38] "four claimants come forward africans state wants tried murder queen spain wants handed provision americanspanish treaty two american naval officers claim right high seas salvage two surviving spaniards la amistad demand property returned "
[39] "baldwin must counter claims facing challenge preconceived notions result relationship develops cinque "                                                                                                                                        
[40] "even though attorney client divided language barrier gradually learn communicate "                                                                                                                                                             
[41] "aside cinque fullyrealized individual characterization spotty acting topnotch "                                                                                                                                                                
[42] "matthew mcconaughey successfully overcomes pretty boy image become baldwin lawyer never particularly welldefined outside role la amistad case "                                                                                                
[43] "likewise morgan freeman stellan skarsgard effective joadson tappan never anything abolitionists "                                                                                                                                              
[44] "nigel hawthorne played title character madness king george presents martin van buren spineless sycophant justice means far less winning election "                                                                                             
[45] "finally theres anthony hopkins whose towering portrayal john quincy adams compelling anything great actor recently done "                                                                                                                      
[46] "hopkins can convincingly play diverse figures serial killer emotionallycrippled english butler richard nixon makes us believe adams "                                                                                                          
[47] " tenminute speech freedom human values unforgettable "                                                                                                                                                                                         
[48] "one point difference worth noting amistad schindlers list films lack welldefined human villain "                                                                                                                                               
[49] "schindlers list ralph fiennes superblyrealized amon goeth threedimensional character personification nazis stood "                                                                                                                             
[50] " figure amistad "                                                                                                                                                                                                                              
[51] " villain slavery ideology matter evil rarely best adversary "                                                                                                                                                                                  
[52] " spielbergs credit fashioned compelling motion picture without prominent antagonist "                                                                                                                                                          
[53] "amistads trek screen encountered choppy waters author barbara chaseriboud cried plagiarism charge denied film makers comes midst upsurge interest incident "                                                                                   
[54] " opera name opened chicago november "                                                                                                                                                                                                          
[55] "numerous books subject showing bookstore shelves "                                                                                                                                                                                             
[56] " remains seen much longevity amistad phenomena one thing certain spielbergs rousing substantive film leading way spotlight now illuminated chapter american history "                                                                          
