 [1] "one colleagues surprised told willing see betsys wedding "                                                                                         
 [2] " shocked hear actually liked "                                                                                                                     
 [3] " reaction understandable consider film revolves around molly ringwald hasnt made worthwhile film since "                                           
 [4] " fact betsys wedding also alan alda film "                                                                                                         
 [5] " ringwald making duds last four years alda involved several noteworthy projects including crimes misdemeanors new life "                           
 [6] "written directed alda betsys wedding vibrant sliceoflife mixing dramatic moments big bowl whimsical humor "                                        
 [7] "aldas comic elixir smooth refreshingand welcome change pace usual summer fare "                                                                    
 [8] " bride groom molly ringwald dylan walsh pivotal characters film far least interesting "                                                            
 [9] "walsh nonentity screen presence door knob "                                                                                                        
[10] "ringwald simply unbearable easily weakest link chain "                                                                                             
[11] " looks hideous shortcropped orange hair red lipstick grotesque outfits "                                                                           
[12] "shes supposed dress designer looks like clown "                                                                                                    
[13] " make matters worse ringwalds performance matches appearance "                                                                                     
[14] "thankfully alda keeps ringwalds screen time minimum far interested colorful periphery characters "                                                 
[15] " wedding just device bring together brides workingclass italian family grooms rich gentile family "                                                
[16] "ringwalds folks homey downtoearth alda freespirited father madeline kahn practical mother ally sheedy lonely sister "                              
[17] "walshs clan hand prim proper ostentatious "                                                                                                        
[18] " two families meet mingle movie becomes story culture clash one character puts money versus values "                                               
[19] "ally sheedy wonderfully understated performance one films pleasant surprises "                                                                     
[20] "sheedy expresses just eyes ringwald entire body "                                                                                                  
[21] " anthony lapaglia however seizes spotlight "                                                                                                       
[22] "lapaglia plays stevie dee suave overly polite mafioso formally courting sheedy oldfashioned chivalry "                                             
[23] "lapaglias sincere dimwitted character riot "                                                                                                       
[24] " whats uncanny lapaglia dead ringer robert de niro little bit alec baldwin thrown good measure "                                                   
[25] "lapaglia seems attended de niro school gangster acting inspired performance partly tribute rolemodel partly ripoff "                               
[26] " dont know whether say star born star reborn know lapaglias overthetop performance missed "                                                        
[27] " scrumptious comic acting however extends well beyond sheedy lapaglia "                                                                            
[28] "joe pesci particular sinks teeth role aldas unscrupulous brotherinlaw slum lord mob ties cheating wife catherine ohara "                           
[29] "alda faced challenge directing acting somehow finds just right comic touch brides financiallystrapped father carpenter whose dreams bigger wallet "
[30] " film adopts aldas psychological point view tries one plan wedding two pay "                                                                       
[31] " filmmaker aldas style humor remarkably restrained tasteful "                                                                                      
[32] " doesnt comic genius woody allen alda possess inspiration make movies ten times entertaining slop usually passes comedy "                          
