 [1] " frequently read reviews likely surprised fact read victor hugos novel les miserables "                                                                            
 [2] " dont know lot people though imagine many familiar popular musical based novel "                                                                                   
 [3] " havent even seen "                                                                                                                                                
 [4] "going film almost knowledge story characters even expected film musical "                                                                                          
 [5] "walking away im kind glad prior experience material "                                                                                                              
 [6] "writerdirector bille augusts film version straightforward beautifully told film "                                                                                  
 [7] "liam neeson stars miserable jean valjean beginning just released year prison sentence "                                                                            
 [8] " allowed stay convent kindly priest despite rude destructive behavior "                                                                                            
 [9] " priests words wisdom influence makes vow change "                                                                                                                 
[10] "nine years later informed now mayor town called vigo nobody knows real name wanted skipping parole nine years ago "                                                
[11] "conflicts arise inspector javert geoffrey rush assigned vigo "                                                                                                     
[12] "valjean remembers javert one prison guards constantly beat javert remembers jean convict "                                                                         
[13] "javert hellbent upholding law everything power bring jean justice "                                                                                                
[14] "along way valjean meets falls love peasant woman fantine uma thurman vows take care daughter cosette played later claire danes "                                   
[15] "les miserables visually solid often striking picture "                                                                                                             
[16] " production design anna asp authentic vast sets dont look like sets look like real towns villages gabriella pescuccis costumes noticeably spectacular "            
[17] "basil poledouris soundtrack thick usually wellplaced though get bit heavy times "                                                                                  
[18] "many scenes film memorable photographic quality climax takes place next dark river grey obscurity early evening "                                                  
[19] "augusts keeps story simple hear good thing since novel complex easy follow "                                                                                       
[20] " manages develop main characters subplots adequately "                                                                                                             
[21] " also impressed didnt go overboard flash style something many directors seem classic stories days baz luhrmanns vicious tragedy william shakespeares romeo juliet "
[22] " film feels solid whole scene certain amount importance vigor keeps audience interested "                                                                          
[23] "liam neeson terrific main role neeson kind actor solemn desperation extremely well valjean certainly man clearly fits adjective "                                  
[24] "thurman small role good proves lot range can perform nonglamorous role one "                                                                                       
[25] "rush absolutely incredible javert dont remember ever feeling strongly villain adds depth complexity subtle glances nuances effortlessly makes scenes intense "     
[26] " cant charitable danes however though know talented actress tends overact might better underplay character bit "                                                   
[27] "les miserables ive said solid intelligent motion picture "                                                                                                         
[28] " complaint feels bit easy perhaps staged "                                                                                                                         
[29] " scene grand huge exploding poledouris score didnt always want "                                                                                                   
[30] " part les miserables subtle deep picture "                                                                                                                         
[31] " good movie tells story well august tends handfeed us themes scenes worked better subtle "                                                                         
[32] "however film exciting wellproduced minor flaws easily overlooked "                                                                                                 
