 [1] " people talking good old times actually want make bad times look better "                                                                                                                           
 [2] "nice example behaviour contemporary attitude popular media towards s "                                                                                                                              
 [3] " new generations superseventies lost golden age chic fashion cult tv shows sexual freedom unchecked aids "                                                                                          
 [4] " people actually live period gloomy decade marked lost ideals rampant inflation unemployment international terrorism fuel crisis loss faith almost anything previous generation stood "             
 [5] "feelings despair nihilism found reflections many films era "                                                                                                                                        
 [6] "martin scorseses taxi driver symbolises glory despair seventies celebrated "                                                                                                                        
 [7] " movies protagonist travis bickle robert de niro year old former marine takes job taxi driver new york city cant sleep nights "                                                                     
 [8] " job gets exposed dark side apocalyptic megalopolis travis gradually gets alienated rest world "                                                                                                    
 [9] " bright spot life betsy cybil sheperd attractive woman working senator palantines presidential campaign "                                                                                           
[10] " date ends humiliating fiasco travis makes fatal mistake inviting porno movie theatre "                                                                                                             
[11] "losing link better side world travis gradually descends psychosis becoming convinced mission life battle scum street "                                                                              
[12] " purchases formidable arsenal guns begins physical preparations inevitable conflict "                                                                                                               
[13] " conflict finally comes takes personal interest iris jodie foster year old prostitute temporarily took refuge taxi "                                                                                
[14] " many great movies got cult status years taxi driver became object many interpretations "                                                                                                           
[15] " critics scholars exploration universal subjects date back dostoyevski loss moral compass bleak reality dirty overpopulated industrial cities story set th century times "                          
[16] " others movie uses raskolnikovlike figure order portray burning problems s america apparent inability deal consequences rapid social changes occurred previous decade "                             
[17] "brilliant performance robert de niro role lifetime can give arguments sides "                                                                                                                       
[18] " travis bickle lot common average viewers today many us share feelings isolation loneliness outrage towards crime drugs prostitution senseless street violence "                                    
[19] " pathetic attempts establish kind human connection people around sometimes unusual circumstances like secret service agents pimps job interviewers make person goofy hero pathetic classic villain "
[20] "however average viewers sensible enough recognise tin line separate concerned citizens troubled souls fanatical madmen "                                                                            
[21] " despite anything average viewer end actually cheers travis crusade scum something average person wants doesnt stomachlack brains "                                                                 
[22] " de niros travis might come particular times places persons appear film mostly played character actors give distinctively s feel "                                                                  
[23] "wizzard played peter boyle presents link americas better past oldest taxi driver company therefore everybody assumes knows stuff "                                                                  
[24] " obvious inadequacy giving advice troubled travis illustrates inability pres generations find answers problems gloomy decade "                                                                      
[25] " characters hand show bad side new age "                                                                                                                                                            
[26] "matthew sport keitel befriended reallife pimps prepare role lifetime dressed like hippie iris found excuse escape world drugs child prostitution ideology counterculture "                          
[27] "porno movies element new times sexual freedom much even supposedly liberated betsy "                                                                                                                
[28] "even politicians like senator palantine lost postvietnam postwatergate mess broad senseless messages cover lack serious program cant fool even idiots like travis "                                 
[29] " past gone present bad even future seems bleak feeling pessimism cant washed away even ironic happy end "                                                                                           
[30] "travis world found desperate situation martin scorsese uses best cinematic skills order spill gloom schraders screenplay silver screen "                                                            
[31] "new york city night portrayed hell earth red light steam coming sewers give surreal almost stygian atmosphere "                                                                                     
[32] "another important element atmosphere score great bernard herrman whose efficient use jazz elements gives melancholy softens brutality motion picture "                                              
[33] "one greatest ironies taxi driver fact movie protagonist famous wrong reason "                                                                                                                       
[34] "instead receiving cult status artistic merits many years tabloidfodder hinckley reallife reenactment events movie "                                                                                 
[35] "now two decades later life imitating art incidents get attention can finally enjoy taxi driver artistic glory "                                                                                     
