 [1] "mars attacks "                                                                                                                                                                                                                   
 [2] " c jack nicholson glenn close annette bening martin short danny devito rod steiger pierce brosnan sarah jessica parker michael j fox jim brown pam grier joe don baker natalie portman christina applegate lisa marie tom jones "
 [3] " director tim burtons finest film date "                                                                                                                                                                                         
 [4] "many will compare tale martians invade earth independence day even though stories similar really two distinctly different films "                                                                                                
 [5] "however whole mars attacks much entertaining id loved id "                                                                                                                                                                       
 [6] " really right frame mind enjoy film "                                                                                                                                                                                            
 [7] " completely wackedout unlike anything youve ever seen "                                                                                                                                                                          
 [8] " silly tone film set easy just sit back throw logic window logic comedy just dont mix "                                                                                                                                          
 [9] " plot simple martians invade earth "                                                                                                                                                                                             
[10] " different invasion film "                                                                                                                                                                                                       
[11] "usually evil aliens versus heroic humans "                                                                                                                                                                                       
[12] " time however goofy aliens versus equally goofy humans "                                                                                                                                                                         
[13] " martians computer generated just funniest things ive seen long time "                                                                                                                                                           
[14] " look funny move funny language hilarious "                                                                                                                                                                                      
[15] " special effects "                                                                                                                                                                                                               
[16] " effects mars attacks "                                                                                                                                                                                                          
[17] " just flawless ones ive seen date "                                                                                                                                                                                              
[18] " computer animation martians combined goofy personalities given makes seem real "                                                                                                                                                
[19] " just couple scenes dont work mainly involving sarah jessica parker pierce brosnan board alien ship "                                                                                                                            
[20] "also glenn close overacts tremendously thankfully limited screen time much actually applauded silently character meets demise "                                                                                                  
[21] " many big laughs film said right mood "                                                                                                                                                                                          
[22] " funnier "                                                                                                                                                                                                                       
[23] "certainly "                                                                                                                                                                                                                      
[24] " funny enough "                                                                                                                                                                                                                  
[25] "yes "                                                                                                                                                                                                                            
[26] " entertained "                                                                                                                                                                                                                   
[27] "absolutely "                                                                                                                                                                                                                     
[28] " personal note id like thank whomever cast rod steiger favorite actor film warcrazy general decker "                                                                                                                             
[29] "finally many small parts direct video garbage minor tv roles steiger back big screen real movie many people will see "                                                                                                           
[30] " hes given type role can give real performance job well good lines dialogue "                                                                                                                                                    
[31] " preview audience saw film really seemed enjoy "                                                                                                                                                                                 
