 [1] " decade anjelica huston one americas finest actresses "                                                                                                                                                                                                        
 [2] " directorial debut bastard carolina based upon dorothy allisons largely autobiographical book child abuse poverty south huston displays impressive proficiency behind camera well "                                                                            
 [3] " film tells story ruth anne boatwright nicknamed bone one uncles birth postworld war ii south carolina "                                                                                                                                                       
 [4] " voiceover narration done laura dern find nearly didnt survive birth single mother anney played jennifer jason leigh thrown windshield automobile accident "                                                                                                   
 [5] "thats just beginning troubles "                                                                                                                                                                                                                                
 [6] "bone deemed illegitimate birth certificate social stigma mother large poor family obsesses years come "                                                                                                                                                        
 [7] "anney meets weds lyle kind man good stepfather gives bone baby sister dying automobile accident "                                                                                                                                                              
 [8] "anneys brother earle played michael rooker introduces glen played ron eldard coworker mill "                                                                                                                                                                   
 [9] "glen black sheep wealthy family gonna make daddy proud "                                                                                                                                                                                                       
[10] "ill tell never "                                                                                                                                                                                                                                               
[11] "hes told filled bitterness courts anney eventually wins despite warnings violent temper "                                                                                                                                                                      
[12] " anney miscarries muchprized baby boy glen loses capability supress violent outbursts begins direct bone beating abusing lovedependent anney tries turn blind eye justify behaviour "                                                                          
[13] "things turn worse glen loses job family four sink impoverishment "                                                                                                                                                                                             
[14] " set several decades ago story remains completely relevant todays society abused wives return husbands abuse committed children one spouse routinely overlooked "                                                                                              
[15] " real star domestic drama topbilled jennifer jason leigh child actress jena malone plays bone wrenching wholly impressive debut performance "                                                                                                                  
[16] " work awardcalibre age preponderence superb child performers emerged kirsten dunst tina majorino anna paquin natalie portman christina ricci elijah wood malones performance stands well "                                                                     
[17] "leighs performance bastard carolina fine although shes really given much ron eldard work solid skillfully manouvering characters moods explosive rage "                                                                                                        
[18] "one can always sense underneath glen pressurecooker ticking away "                                                                                                                                                                                             
[19] " supporting cast special note must made criminally underrated michael rookers performance "                                                                                                                                                                    
[20] "theres bit much generic formulaism screenplay taste various characters spouting country bumpkinisms familiar sight driedup uptight wise old granny played grace zabriskie sitting porch rocking chair impassioned soliloquies better suited stage performance "
[21] "still denied anne merediths screenplay contains wallop emotional power "                                                                                                                                                                                       
[22] "hustons direction film surehanded impressive giving film good pacing eliciting good performances cast particularly young malone "                                                                                                                              
[23] " sequences child abuse shot hardhitting emotional rather graphic manner effective "                                                                                                                                                                            
[24] "hustons talent camera positioning wonderful visually striking shot done fan extended sequence front seat automobile "                                                                                                                                          
[25] " film toneddown feel television production bastard carolina originally composed cut broadcast tnt cable station ended declining film due sentiments scenes abuse rape film disturbingly realistic audience "                                                   
[26] "perhaps sequences film may unpleasant whole bastard carolina adds powerful viewer experience worth seeing "                                                                                                                                                    
