 [1] "seen february home video borrowed chris wessell "                                                                                                                               
 [2] " comes modern gangster movies really difficult describe review without making comparisons films genre andor just using word routine "                                           
 [3] "ive always subscribed philosophy idea matter many times used can provide good story donnie brasco clinches idea "                                                               
 [4] " unlike great films genre yet never apes anothers style good layer authenticity even core tad stale "                                                                           
 [5] " film starts typical fashion defining atmosphere new york city late s mobsters inhibit "                                                                                        
 [6] " meet lefty pacino aging wiseguy can still walk walk talk talk "                                                                                                                
 [7] " associates go generic motions expect see crime films like "                                                                                                                    
 [8] "somehow comes across donnie brasco depp younger guy lot spunk isnt afraid lefty rep even manages befriend lefty ready kill "                                                    
 [9] " clear donnie new life lefty recognizes immediately telling tricks trade "                                                                                                      
[10] " never seen technique actually revealing mafioso idiosyncrasies done film deserves credit "                                                                                     
[11] "however soon realize donnie actually joe pistone fbi agent working undercover character symbolizes viewer will soon purged lifestyle treated newcomer "                         
[12] " first act works guided ot rhetoric wiseguy honor brief history mob definitions slang money comes goes "                                                                        
[13] " screenplay rather sketchy details surrounding elements however fact mentioned quite original "                                                                                 
[14] " gangster movies seem made notion viewer already knows mob works probably watching gangster movies although attitude comes across film tries fill holes can effort appreciable "
[15] "thankfully film doesnt become caught tedious details organized crime instead opts character development "                                                                       
[16] "much story told simply interaction lefty donnie "                                                                                                                               
[17] "pacino outstanding pathetic hood speaks job manner blue collar worker "                                                                                                         
[18] "hes old exhausted seems enjoy just anyone loyal employer years might "                                                                                                          
[19] " learn accomplishments quite impressive within context complains made top boss easy sympathize "                                                                                
[20] "newell constantly plays aspect making major theme works well long run "                                                                                                         
[21] " donnie constantly impressing even oneupping lefty hard tell emotion powerful fact donnie getting closer nailing mob fact lefty shadowed "                                      
[22] " film tells story donnies life mafia creates many subplots individual conflicts doesnt always seem come together whole "                                                        
[23] " storytelling genuinely interesting throughout even motions characters go seem familiar "                                                                                       
[24] " resonance donnies actual assignment varies often reports back feds detail progress doesnt always seem much meaning "                                                           
[25] "back home wife maggie heche ready divorce hes never family suffering "                                                                                                          
[26] "since based true story wouldnt doubt happen although way handled often borders melodramatic "                                                                                   
[27] " major complaint film seems final act least real sense closure "                                                                                                                
[28] " climax sorts occur theres little feeling payoff "                                                                                                                              
[29] " get happy ending good perhaps sad ending powerful "                                                                                                                            
[30] "aside minor general flaws donnie brasco manages solid piece storytelling character development "                                                                                
[31] " may routine good thats respectful "                                                                                                                                            
