 [1] "assume nothing "                                                                                                                                                                                             
 [2] " phrase perhaps one used s first impressions rumors hardly ever seem "                                                                                                                                       
 [3] " phrase especially goes oscar novak architect main focus three tango delightful funny romantic comedy assumptions "                                                                                          
 [4] "novak matthew perry shy clumsy chicago based architect along openly gay partner peter steinberg oliver platt fights projects day day "                                                                       
 [5] "one job restoring popular building charles newman dylan mcdermott rich wellknown businessman "                                                                                                               
 [6] "charles immediately takes liking oscar enjoys personality sense humor "                                                                                                                                      
 [7] "seeing oscar someone trust charles asks watch girlfriend unpredictable adventurous girl named amy post neve campbell makes living blowing glass "                                                            
 [8] "charles wants know talks goes "                                                                                                                                                                              
 [9] " point "                                                                                                                                                                                                     
[10] " make sure shes seeing someone else course "                                                                                                                                                                 
[11] "oscar gladly takes job meets amy art show sparks fly two get go "                                                                                                                                            
[12] "oscar feels found one meant content idea amy "                                                                                                                                                               
[13] "well another popular phrase s good things must come end stays true oscar well "                                                                                                                              
[14] "charles walks amy oscar drink one night oscar amy become great friends doesnt seem mind "                                                                                                                    
[15] " "                                                                                                                                                                                                           
[16] " thinks oscar gay "                                                                                                                                                                                          
[17] "hes afraid share either "                                                                                                                                                                                    
[18] "oscar stands shock words swear werent gay oscar id kill muttered flamboyantly charles mouth "                                                                                                                
[19] " word spreads instantly town "                                                                                                                                                                               
[20] "will oscar come supposed gayness will tell everyone isnt "                                                                                                                                                   
[21] "one immediately think deny fact numerous occurrences come oscar result fact denies fact lose job charles "                                                                                                   
[22] "matthew perry doesnt escape character chandler already classic t v "                                                                                                                                         
[23] "comedy friends oscar novak chandler clueless shy sensitive "                                                                                                                                                 
[24] "nonetheless perry hilarious shows can handle drama obviously character suffers quite bit "                                                                                                                   
[25] " wonderful see neve campbell outside horror movie star scream upcoming scream handles comedy superbly "                                                                                                      
[26] " voice smile personality perfect romantic comedies stay genre neve "                                                                                                                                         
[27] "neve delightful conflicted character feels love oscar knows based rumors gay "                                                                                                                               
[28] " usual campbell likable likable character "                                                                                                                                                                  
[29] "unlike two leads dylan mcdermott flat dialogue never convincing "                                                                                                                                            
[30] " character present mcdermott sets dull tone scene horrible acting "                                                                                                                                          
[31] "stick t v "                                                                                                                                                                                                  
[32] "drama practice dylan "                                                                                                                                                                                       
[33] " major weak spot three tango direction damon santostefano "                                                                                                                                                  
[34] " originality technique used whatsoever "                                                                                                                                                                     
[35] "three tango lucky script edgy perry campbell wonderful comedy else film disaster just plain boring look "                                                                                                    
[36] "three tango film done many times plot suspiciously close s object affection plot never completed well "                                                                                                      
[37] "three tangos script written rodney patrick vaccaro aline brosh mckenna fun fast funny delivering original hilarious gay jokes run mill material certain snappiness dialogue characters always keeps smiling "
[38] "unlike last summers south park bigger longer uncut s three tango comedy gay element crude vulgar "                                                                                                           
[39] " script wise take route gays cant dont think anyway offended light playful comedy "                                                                                                                          
[40] " prove gay couple audience laughing constantly "                                                                                                                                                             
[41] "three tangos climax hilarious clever scene pure irony based outcome romanticmistaken identity comedies "                                                                                                     
[42] "three tango gem "                                                                                                                                                                                            
[43] " bottom line three tango light sharp snappy romantic comedy superb ending great stars "                                                                                                                      
[44] "one better romantic comedies "                                                                                                                                                                               
