 [1] " question isnt grease reissued "                                                                                                                                                                          
 [2] " answer one easy celebrate movies th anniversary make bucks paramounts coffers john travolta hot commodity "                                                                                              
 [3] " question asked grease reissued "                                                                                                                                                                         
 [4] " answer easy one "                                                                                                                                                                                        
 [5] "grease fun movie entertaining fantasy s embodying cliches era "                                                                                                                                           
 [6] " music lively dance numbers choreographed patricia birch energetic highspirited "                                                                                                                         
 [7] "travolta pinnacle sexual icon cool nonthreatening "                                                                                                                                                       
 [8] " grease didnt break new cinematic ground "                                                                                                                                                                
 [9] " milestone movie history citizen kane easy rider "                                                                                                                                                        
[10] " grease become highestgrossing musical film history "                                                                                                                                                     
[11] "ok lets spoilsport "                                                                                                                                                                                      
[12] "grease fun entertaining movie even though stretches credulity see performers travolta olivia newtonjohn taxis jeff conaway multitalented stockard channing try act like high schoolers "                  
[13] " nostalgic recall good dancer travolta sad think missteps sidetracked career "                                                                                                                            
[14] " become musical comedy star tradition gene kelly "                                                                                                                                                        
[15] "cinematically musical comedy basically gone way dinosaur "                                                                                                                                                
[16] " grease s evita can probably count number movie musicals one hand "                                                                                                                                       
[17] "two reasons contributed demise genre first movie audiences become sophisticated make cynical jaded "                                                                                                      
[18] "today character began dance sing orchestra sight probably hooted screen "                                                                                                                                 
[19] "todays audiences lack innocence belief movie magic required musical succeed "                                                                                                                             
[20] "secondly lack talent "                                                                                                                                                                                    
[21] "performers charisma style largerthanlife panache fred astaire gene kelly ginger rogers judy garland gone "                                                                                                
[22] " singers dancers remain stage succeed movies usually wind serious dramatic parts "                                                                                                                        
[23] " good example gregory hines one greatest dancers world "                                                                                                                                                  
[24] " danced bit cotton club tap white nights essentially dramatic vehicles "                                                                                                                                  
[25] " perhaps reissue grease can serve purpose "                                                                                                                                                               
[26] " audiences show enough interest meaning rerelease earns studio enough revenue may spark revival movie musicals "                                                                                          
[27] "perhaps original musicals singin rain american paris seven brides seven brothers broadway properties planning stages film adaptations several years "                                                     
[28] " one time another according industry rumor mill hollywood set create animated version andrew lloyd webbers cats filming popular phantom opera well les miserables chicago latter reportedly star madonna "
[29] " let grease forerunner armada movie musicals "                                                                                                                                                            
[30] "let grease word sparks revival "                                                                                                                                                                          
