 [1] "clint eastwood ripe old age cashing one talent another "                                                                                                                                       
 [2] "midnight garden good evil eastwooddirected film clint isnt even damn good "                                                                                                                    
 [3] "adapted bestselling john berendt novel based true events movie set bizarre georgia town savannah people walk invisible dogs attach horseflies head "                                           
 [4] " thats just mayor "                                                                                                                                                                            
 [5] " director producer eastwood contributes self indulgent competent minutes neatly balancing drama suspense humor "                                                                               
 [6] "like great movies midnight garden lot funny moments spring characters contrived juvenile intrusion "                                                                                           
 [7] " acting bigtime stars john cusack kevin spacey good youd expect supporting stable gives movie offbeat charm "                                                                                  
 [8] "cusack plays freelance reporter sent savannah write fluff story town country magazine one eccentric millionaire spaceys parties "                                                              
 [9] "lots food beverages gunplay "                                                                                                                                                                  
[10] "yes employee spaceys huge argument front cusack later turns dead "                                                                                                                             
[11] " seems like simple matter self defense guy threatened spacey shot missed spacey took movie theres much cusack decides stay town write book murder book will eventually become movie will star "
[12] " weird circle entertainment "                                                                                                                                                                  
[13] " stable supporting characters comes "                                                                                                                                                          
[14] "theres requisite sexy woman alison nepotists daughter eastwood strange piano player voodoo woman transvestite "                                                                                
[15] "miss chablis deserves paragraph hisher stealer every scene appears movie without castilian scene testimony "                                                                                   
[16] "chablis playing five times funnier reigning drag queen rupaul never seems exploited movies comic relief place basically serious movie "                                                        
[17] " also fair share courtroom scenes days almost never seem welcome movie even clint manages keep movie fascinating "                                                                             
[18] "certainly characterizations judge spaceys lawyer help immensely flyguy jurys foreman "                                                                                                         
[19] " realize case boils indictment spaceys homosexuality "                                                                                                                                         
[20] "yes spacey sexual relationship dead man shot course "                                                                                                                                          
[21] "midnight garden good evil isnt classic one better celebritydirected truestory bestseller adaptations "                                                                                         
[22] "likewise one movie will getting oscar nominations performances great "                                                                                                                         
[23] " fact id almost recommend academy add best supporting transvestite category "                                                                                                                  
[24] "serving america th century "                                                                                                                                                                   
