 [1] " summer recently saved two different movies "                                                                                                                
 [2] " opening night saw american pie laughed like moron "                                                                                                         
 [3] " nights later watched thoroughly enjoyed joel hershmans greenfingers even though didnt feature trip band camp girlongirl action seann william scott "        
 [4] "however felt just good leaving american pie leaving greenfingers tells offbeat tale british murderer colin briggs clive owen croupier "                      
 [5] " spending roughly half life behind bars transferred lenient facility edgefield "                                                                             
 [6] " picaresque rustic prison allows inmates learn trade enjoying accommodations generally found colleges "                                                      
 [7] " first briggs doesnt want "                                                                                                                                  
 [8] "hes used living prisoner wants left alone "                                                                                                                  
 [9] "however ailing roommate fergus david kelly waking ned devine wears briggs benign nature "                                                                    
[10] " two become friends fergus giving colin packet violet seeds christmas gift "                                                                                 
[11] "briggs astonished violets grow limestone soil begins fight three prisoners errant soccer ball smashes beloved flowers "                                      
[12] " prisons governor warren clarke reprimands hes awed briggs accomplished "                                                                                    
[13] " hes struck idea briggs fergus men will grow garden prisons grounds "                                                                                        
[14] "greenfingers inspired actual events becomes bit like sports movie "                                                                                          
[15] "despite differences men come together hard work love earn spot big game case prestigious garden show "                                                       
[16] "one renegade case briggs will prove talent "                                                                                                                 
[17] " course love will also rear head prison love "                                                                                                               
[18] " hershmans credit doesnt pump drama try cheap laughs like last years lame marijuana comedy saving grace "                                                    
[19] " keep pinching didnt see single scene hardened con sneezing pot pansies men giving highfives particularly stunning batch wildflowers "                       
[20] " movie deals people scores concept "                                                                                                                         
[21] " wonderful seeing briggs turn bitter prisoner man cares "                                                                                                    
[22] "give credit owen keeping cool part begs overacting "                                                                                                         
[23] " speech parole board reborn gardening best scene kind since morgan freemans last stand shawshank redemption "                                                
[24] "owens bedside scenes kelly lends film human touch marvel behold emotionally gripping without sappy "                                                         
[25] "written hershman greenfingers contains plenty laughs "                                                                                                       
[26] " come courtesy helen mirren shines worldclass gardener works inmates fears daughter primrose natasha little starts dating briggs "                           
[27] " mother cant believe hell daughter burns sunday roast "                                                                                                      
[28] "nothing forced greenfingers "                                                                                                                                
[29] " funny lines come forth naturally conversations punch lines "                                                                                                
[30] "primrose briggs relationship takes awkward steps "                                                                                                           
[31] "even briggs decides go back edgefield done reasons loyalty movie requires "                                                                                  
[32] " grimacing forced screwball antics movies like americas sweethearts princess dairies almost indescribable pleasure see director taking time tell story well "
