 [1] "available rental october "                                                                                                                                                                                                                                                                                                                                                                                                                 
 [2] " things hate update classic play taming shrew "                                                                                                                                                                                                                                                                                                                                                                                            
 [3] " said drop preconceived notions shakespeares work supposed like welcome padua high school home student counselor allison janney obsesses male penis slightly hip racist africanamerican english teacher daryl mitchell new kid named cameron joseph gordonlevitt model named joey andrew keegan subject cameron joeys crushes bianca larisa oleynik biancas sister shrew julia stiles marvelous performance whose name katarina kat short "
 [4] " movies high schools similar running projectors like water nile quite easy write things hate just another doltish comedicromance "                                                                                                                                                                                                                                                                                                         
 [5] "yet must realize story timeless hundred years later equally witty comical elizabeth gleefully looked groundlings stuffed brassieres stage "                                                                                                                                                                                                                                                                                                
 [6] " first reminder original scribe can found katarina biancas last name stratford "                                                                                                                                                                                                                                                                                                                                                           
 [7] " family run walter stratford pretty womans larry miller doctor familiar teenage pregnancy guards children accordingly "                                                                                                                                                                                                                                                                                                                    
 [8] " thinks moment ironic humor family dating policy amended bianca can date "                                                                                                                                                                                                                                                                                                                                                                 
 [9] "katarina "                                                                                                                                                                                                                                                                                                                                                                                                                                 
[10] " prom just ahead biancas fate grim unless course can tame shrew "                                                                                                                                                                                                                                                                                                                                                                          
[11] "dont think mission simple one bianca kindly points sister particularly hideous breed loser "                                                                                                                                                                                                                                                                                                                                               
[12] "getting katarina date complex oftentimes confusing "                                                                                                                                                                                                                                                                                                                                                                                       
[13] " cameron likes bianca learns fathers new rule quick consult friend advice "                                                                                                                                                                                                                                                                                                                                                                
[14] " scheme dream fully exploit someone money "                                                                                                                                                                                                                                                                                                                                                                                                
[15] " case joey guy crush bianca "                                                                                                                                                                                                                                                                                                                                                                                                              
[16] "camerons friend loser teenage verdict convinces joey pay someone enough guts take shrew "                                                                                                                                                                                                                                                                                                                                                  
[17] " solution lies farther away second blatant reminder master scribe patrick verona heath ledger "                                                                                                                                                                                                                                                                                                                                            
[18] " verona far fair rumor previously laid scene prison "                                                                                                                                                                                                                                                                                                                                                                                      
[19] "moreover katarina openly opined aforementioned english teacher hemingway alcoholic hung around picasso hoping nail leftovers "                                                                                                                                                                                                                                                                                                             
[20] " laws high school cinema inexorably turn patrick katarina romeo juliet "                                                                                                                                                                                                                                                                                                                                                                   
[21] "providing constant reminder fact isnt exactly shakespeare mind elements obligatory high school comedy party polluted liquor best friends betrayal prom "                                                                                                                                                                                                                                                                                   
[22] " latter become infamous closing films like drive crazy american pie never kissed carrie shes cant hardly wait "                                                                                                                                                                                                                                                                                                                            
[23] "yet surely even practices roots shakespeare falstaff drunk romeo juliet met party caesar learned loyalty hard way "                                                                                                                                                                                                                                                                                                                        
