 [1] " look movie necessarily perfection "                                                                                                         
 [2] "sometimes movie strong ideas despite whatever flaws may will prefer bettermade film thoughtprovoking "                                       
 [3] " thin red line flawed provokes "                                                                                                             
 [4] "terence malick returns filmmaking years days heaven produces meditative look war "                                                           
 [5] "unlike years saving private ryan dwells war necessary evil explores moral ambiguities thereof thin red line simply says war waste "          
 [6] " might seem obvious experiencing film realize profound waste "                                                                               
 [7] "saving private ryan underlying practical acceptance war will occur great cost thin red line says idealistically avoid costs "                
 [8] "one message necessarily correct "                                                                                                            
 [9] " just depends ones point view "                                                                                                              
[10] " malicks film war set tropical paradise john tolls cinematography beyond lush "                                                              
[11] " setting poses question fighting face beauty "                                                                                               
[12] " saving private ryan capture german soldier presents moral quandary whether let go "                                                         
[13] " thin red line japanese present moral quandary war first place "                                                                             
[14] " just like americans frightened angry grieving praying "                                                                                     
[15] " separates war "                                                                                                                             
[16] " flaw thin red line comes voiceovers "                                                                                                       
[17] "unbelievable coming characters sometimes pretentious sometimes corny voiceovers tell us images us already completely unnecessary "           
[18] "dispensing malick achieved tarkovskian grandeur "                                                                                            
[19] "instead gets distracting selfconsciousness "                                                                                                 
[20] "aside malicks direction stunning "                                                                                                           
[21] " tracking shots across windswept hills around transports speeding toward shore extraordinary "                                               
[22] "sean penn elias koteas nick nolte give best performances "                                                                                   
[23] "penn subtle sergeant trying hide humanism koteas genuine compassionate captain nolte startling colonel whose blood vessels burst win battle "
[24] "john travolta george clooney worst cameo roles "                                                                                             
[25] "ultimately however thin red lines interest characters drama "                                                                                
[26] " frequently criticized lack dramatic structure malick clearly different things mind "                                                        
[27] " one ever thought getting dramatic entertainment war exploitative "                                                                          
[28] " malick working theme thin red line provoking "                                                                                              
