 [1] "mike myers certainly throw us frickin bone call biggest austin powers adventure yet "                                                                                                                     
 [2] "austin powers spy shagged sequel smash comedy austin powers international man mystery "                                                                                                                   
 [3] "many skeptical sequels saying sequel never better good original austin powers tswsm goes beyond first film "                                                                                              
 [4] "austin powers spy shagged stars mike myers three different roles "                                                                                                                                        
 [5] " reprises role title character austin powers shagadelic spy whose body frozen unfrozen stop long time nemesis dr evil also played mike myers destroying earth "                                           
 [6] "tswsm leaves original stopped dr evils frischs big boy space capsule floating space "                                                                                                                     
 [7] "dr evil returns back earth ejecting capsule plotting go back time machine year plans steal austin powers mojo keeps austin going spy talents "                                                            
 [8] "upon return secret lair now starbucks coffee shop dr evil learns evil henchman includes returning robert wagner number mindy sterling frau created size clone dr evil later named mini "                  
 [9] " evil mini replaces scott evil played seth green dr evils son madmans mind dr evil thinks scott quasievil "                                                                                               
[10] "dr evil always wanted son evil just like now one "                                                                                                                                                        
[11] "dr evil tells mini complete loving manner "                                                                                                                                                               
[12] "dr evil loving "                                                                                                                                                                                          
[13] "wow "                                                                                                                                                                                                     
[14] "mike myers third role fat bastard scottish henchman dr evils sent steal mojo austin powers frozen body "                                                                                                  
[15] "austin powers learns dr evils trip back s uses time machine take back try save mojo fat bastard gets hold "                                                                                               
[16] " arriving year austin travels pad smashing homedance club meets felicity shagwell played heather graham cia agent willing help journey stop dr evil "                                                     
[17] " film progresses hilarious one liners thrown us mainly dr evil example dont go girlfriend "                                                                                                               
[18] " president united states "                                                                                                                                                                                
[19] "many witty gags take place note entire tent scene just plain funny scenes stupid theyre funny come dozen per fifteen minutes "                                                                            
[20] "take example scott evil going jerry springer show complaining evil father "                                                                                                                               
[21] " way austin powers tswsm uses humor clever throwing hilarious scene followed five minutes one liners followed another outrageous scene never stop laughing "                                              
[22] " honestly one moment austin powers tswsm wasnt laughing "                                                                                                                                                 
[23] " last film laughed hard well austin powers "                                                                                                                                                              
[24] " apparent mike myers knew funny film writing "                                                                                                                                                            
[25] " film even makes fun line something along lines funny england southern california look nothing alike "                                                                                                    
[26] "tswsm filmed southern california supposed take place england "                                                                                                                                            
[27] " can tell one thing lot fun enormously popular character television newspapers magazines movie theaters "                                                                                                 
[28] " believe dr evil got attention tswsm austin powers "                                                                                                                                                      
[29] "dr evil provided laughs memorable moments interesting dialogue austin time around seems missing funny touch first film "                                                                                  
[30] " felt austin really mojo taken away screenplay writer mike myers fat bastard "                                                                                                                            
[31] "also making great addition series mini played verne troyer "                                                                                                                                              
[32] "even though midget actor years old adorable dr evils side constantly "                                                                                                                                    
[33] " first austin powers film barely sentimental quality lack character development barely detailed plot characteristics barely good acting austin powers tswsm actually shows quality behind frequent humor "
[34] "mike myers three roles acts eddie murphy nutty professor disguising completely one roles "                                                                                                                
[35] " fat bastard three characters different mike myers good job handling one "                                                                                                                                
[36] "heather graham made great addition talent tswsm much better job elizabeth hurley gave flat performance original speaking lines without feeling emotion "                                                  
[37] "speaking hurley can seen tswsm brief moments "                                                                                                                                                            
[38] "hopefully graham tags along future austin powers adventures "                                                                                                                                             
[39] " bottom line groovy sequel mike myers put mojo writing "                                                                                                                                                  
