 [1] " indian runner courier "                                                                                        
 [2] " became message carrying "                                                                                      
 [3] " danger bear message "                                                                                          
 [4] " used think sean penn immature arrogant photographer punching madonnamarrying loudmouth "                       
 [5] " changed now "                                                                                                  
 [6] " guy grown "                                                                                                    
 [7] " thats "                                                                                                        
 [8] " seems sean penn talents writer director film indication "                                                      
 [9] "one might imagine movie plenty ruthless rage showy machismo given penn charge bronson hopper "                  
[10] " "                                                                                                              
[11] " film real struggle victories defeats simple "                                                                  
[12] "penn lets story unfold pace dictated lives characters without unnecessary rush flash "                          
[13] " focus story two brothers "                                                                                     
[14] "david morse brother grown small midwestern town raised tending failing farm finally becoming police officer "   
[15] "viggo mortensen wild brother whose wild behavior seems reaction ancient pain cant name much less resolve "      
[16] " film picks story day mortensen returns vietnam morse coincidentally encounters armed youth fleeing state line "
[17] " becomes clear kind conflict threatens link brothers shared "                                                   
[18] " film unobtrusive simple direct plain sincere "                                                                 
[19] " isnt exactly perfect sincerity well invested struggle two brothers identify sickness destroys "                
[20] "life seems move forward little faster can get handle problems "                                                 
[21] " good film without big budget sets big name stars pushed face "                                                 
[22] " fact im reviewing suspect may get much marketing "                                                             
[23] " perhaps others showing saw "                                                                                   
[24] " thought structure clean oversimplified though freeform sections also work well "                               
[25] " obligatory s music seemed little cliche going dothis movie take place s "                                      
[26] " opinion worth fullprice admission "                                                                            
