 [1] " spyglass see everything "                                                                                                                                                                                
 [2] "king louis xvi beheaded january instead visualizing act regicide legendary auteur eric rohmers lady duke observes afar "                                                                                  
 [3] "consider view kill made abstract "                                                                                                                                                                        
 [4] " proper british yes british gentlewoman grace elliott lucy russell loyal maidservant gaze lofty terrace meudon glistening city paris raucous crowds seem tinier ants "                                    
 [5] " maid narrates little sees execution telescope often muttering dont know sound cheering patriots revolutionaries echoes air "                                                                             
 [6] " dont see might able hurt us "                                                                                                                                                                            
 [7] "just close eyes think england "                                                                                                                                                                           
 [8] " times revolution aristocracy may feel false sense calm parlor halls discussing tumultuous events glasses sherry walls cave "                                                                             
 [9] "adapted elliotts memoirs journal life french revolution rohmers latest artistic tourdeforce may seem far removed domestic comedies tales four seasons etc period film set violent changes french history "
[10] "resisting temptation grandscale theatrics much lady duke quiet decisive moments members cultural elite determine proceed world implodes "                                                                 
[11] "grace elliott makes unlikely protagonist headstrong snobbish blueblood one unprepared machinations history sweep along "                                                                                  
[12] " foreigner accepts french king graces life seems defined fancy attire lively political debate former lover kings hotblooded cousin prince philipe duke orleans jeanclaude dreyfus "                       
[13] " times changing though gears inch ever closer toward violence "                                                                                                                                           
[14] " september massacres encountered procession rioters brandishing head dukes sisterinlaw stake "                                                                                                            
[15] "rohmer makes harsh transition tranquil old fashioned almost stagy parlor scenes swell angry mob "                                                                                                         
[16] " achieves braveheart patriot face death "                                                                                                                                                                 
[17] " grace sees friends disembodied head pole rohmers attention drifts societal change one womans reaction shot laden hot tears "                                                                             
[18] "grace finds taking fugitive justice sheltering mob "                                                                                                                                                      
[19] " relationship duke seeks passport one activists escape "                                                                                                                                                  
[20] "grace doesnt even understand actions duke reacts stunned disbelief places danger "                                                                                                                        
[21] " endures persecution robespierre gang thuggish equalizers ceaseless police monitoring house searches even brief imprisonment harmless international correspondence "                                      
[22] "maintaining stiff upper lip pampered life imperious attitude servants never changes becomes heroine circumstance "                                                                                        
[23] " events intrusions upon person home therefore values "                                                                                                                                                    
[24] "aristocracy proves glass house one can barely withstand upheaval stones "                                                                                                                                 
[25] " duke called vote kings punishment despite hours deliberation friends advisors talk means nothing face bloody action futile inaction "                                                                    
[26] " episodic structure creates wobbly jarring detachment events french revolution serves metaphor also disconnects potential audience identification "                                                       
[27] "lazy viewers critics may also complain knowledge french history required enjoyment lady duke "                                                                                                            
[28] "thats foolery brings valid criticism rohmers characters occasionally become didactic "                                                                                                                    
[29] "rohmers imperfect assured push toward future remains staunch notable casting cautious eye upon past taking bold steps forward uncertain future "                                                          
[30] " may arouse interest lady duke outside foreign film enthusiasts literary historical passions rohmers use cutting edge digital technology means exploring theme artifice safety net coping mechanism "     
[31] " actors filmed bluescreen placed painted backdrops recreating vastness th century paris "                                                                                                                 
[32] " recreation calls attention every shot technicolor dream fanciful buildings wideopen streets "                                                                                                            
[33] " looks phony titanic unlike james camerons debacle lady duke plays notion false security walls stone "                                                                                                    
[34] " "                                                                                                                                                                                                        
[35] " arent real "                                                                                                                                                                                             
[36] " foundation rohmers characters stand upon false groundlessness must discover insubstantial glory "                                                                                                        
[37] "screened new york film festival feature coming soon "                                                                                                                                                     
