 [1] "city angels kind love story enjoy thoughtprovoking moving completely unsentimental "                                                                                                         
 [2] " find interesting film released day giant film undone completely wretched sentimentality "                                                                                                   
 [3] "city angels wonderful film enhanced interesting wellrounded characters immersive imagery last couple years "                                                                                 
 [4] " love story takes familiar angel themes makes new necessary story avoids cliches used seeing films like "                                                                                    
 [5] "city angels apparently loose remake wim wenders film wings desire "                                                                                                                          
 [6] " yet see wings desire unfortunately unable make comparison two "                                                                                                                             
 [7] " heard however city angels dissimilar original numerous ways makes glad film isnt ripoff source material "                                                                                   
 [8] "nicolas cage stars seth angel like angel counterparts present lead dying heaven somewhere just like "                                                                                        
 [9] "one day forced take life patient dr maggie rice meg ryan attention called "                                                                                                                  
[10] " angels can make seen humans cant experience senses importantly touch "                                                                                                                      
[11] " shows maggie falls unaware slightly unavailable apparition status "                                                                                                                         
[12] "seth wants become human can feel "                                                                                                                                                           
[13] "thats meets nathaniel messinger dennis franz former celestial messenger recent addition human race "                                                                                         
[14] " side note found messinger fascinating character can imagine incredibly liberating must live knowing lies beyond death "                                                                     
[15] "messinger explains seth possible angels become human "                                                                                                                                       
[16] "seth manages convince maggie angel know sounds ridiculous scene finds exceptionally welldone much deliberation tells man can feel "                                                          
[17] " course seth decides take plunge literally building wakes fall human happy feel like split lip blood oozing forehead "                                                                       
[18] "since love film much ill make minor note certainly isnt perfect "                                                                                                                            
[19] "although original mesmerizing fall prey cliches genre "                                                                                                                                      
[20] " plotting story writer dawn steel rather formulaic though details make story excellent steel done great job "                                                                                
[21] " ending powerful less predictable "                                                                                                                                                          
[22] " elements minor though barely detracted overall enjoyment city angels "                                                                                                                      
[23] " acting superb everyone involved "                                                                                                                                                           
[24] " perhaps secondfavorite performance cage favorite rock "                                                                                                                                     
[25] "hes quiet pensive eyes engaging speaks softlytoned words "                                                                                                                                   
[26] "hes perfect role like time reassures us hes bound playing psycho though good shows faceoff "                                                                                                 
[27] "meg ryan powerful enticing appealinglychirpy actress work best "                                                                                                                             
[28] "dennis franz however steals scenes energetic formerangel "                                                                                                                                   
[29] " admire city angels overall presentation "                                                                                                                                                   
[30] "director brad silberling talented man knows story like driven characters rather forced sentimentality "                                                                                      
[31] " direction steady shows just every scene near beginning maggie tell mother two children father dead "                                                                                        
[32] " music elaborate camera work simply see reactions characters information "                                                                                                                   
[33] " way stories told strength scenes resonates completely emotions real "                                                                                                                       
[34] " film also appeals senses way love stories "                                                                                                                                                 
[35] "cinematographer john seale english patient provides stunning images ive seen big screen hundreds blackclad angels stand dim beach early morning hours just example "                         
[36] " music gabriel yared also english patient perfect film quiet moody music sentimental adds atmosphere tone nicely "                                                                           
[37] " visual presentation city angels easily best far "                                                                                                                                           
[38] " adds film instantly set apart members genre "                                                                                                                                               
[39] " film relies character development imagery get story acrossthe excellent actors professional production values make city angels one rare films entertains instigates thought simultaneously "
