 [1] " movie perfume "                                                                                                                                                                                                           
 [2] " slow moving stylish psychological thriller imitation hitchcocks vertigo "                                                                                                                                                 
 [3] " adapted original story brian de palma paul schrader directed de palma scripted schrader "                                                                                                                                 
 [4] "set new orleans shows wealthy michael courtland cliff robertson sitting top world celebrating tenth wedding anniversary party mansion lovely wife elizabeth genevi ve bujold young daughter amy blackman look beaming joy "
 [5] " realestate development partner bob la salle john lithgow proposes toast prosperous business high society friends give best wishes "                                                                                       
 [6] "upon retiring night daughter wife kidnapped bedroom left ransom note deliver tomorrow will killed "                                                                                                                        
 [7] "inspector brie stanley reyes comes plan put phony money transmitter briefcase exchange will lead kidnappers "                                                                                                              
 [8] " kidnappers burst house surrounded police taking two victims pursuing police chase kidnappers car explodes goes bridge none bodies found "                                                                                 
 [9] "grieving loss wife child guiltridden michael builds tomb expensive land develop "                                                                                                                                          
[10] "sixteen years later goes partner bob vacation revisits florence italy met wife "                                                                                                                                           
[11] " goes church met sees young girl looks exactly like wife "                                                                                                                                                                 
[12] " name sandra portinari genevi ve bujold shes working restoring art decaying "                                                                                                                                              
[13] " falls instantly love doesnt heed bobs warnings might gold digger decides take back new orleans marry "                                                                                                                    
[14] "sandra becomes second chance prove love thinks can finally put past behind "                                                                                                                                               
[15] " surprises come werent really surprising beauty storytelling almost exclusively understated acting soul stricken cliff robertson emotionally impactful performance genevi ve bujold competent acting john lithgow "        
[16] " plays much like rehash masters work break new ground yet still thrilling way "                                                                                                                                            
