 [1] "apollo simply one dramatic film summer apart swashbuckling braveheart "                                                                                                                                           
 [2] "director former actor ron howard splash backdraft far away noted dramatic film making displays brilliance creating drama suspense apollo "                                                                        
 [3] " second largest box office hit us summer us million states alone film successful effort yet "                                                                                                                     
 [4] "perhaps one appealing feature film pool talented actors tom hanks gump kevin bacon footloose tremors good men etc gary sinise forrest gump bill paxton aliens true lies boxing helena ed harris abyss just cause "
 [5] " gave good performances respective roles "                                                                                                                                                                        
 [6] "apollo second worst accident ever occur history us spaceflight worst challenger accident "                                                                                                                        
 [7] "jim lovell hanks mission commander together crew fred haise paxton last minute replacement tom swigert bacon put ultimate test part command module explodes third day mission three quarters way moon "           
 [8] "suspense drama ensue three men left space spaceship control problem surviving journey home "                                                                                                                      
 [9] " ever reach "                                                                                                                                                                                                     
[10] "ed harris gary sinise play respectively man charge entire mission control astronaut supposed fly diagnosed measles delve roles superbly "                                                                         
[11] "audiences shown chaotic worrisome state entire ground control crew frantically attempt come ideas save astronauts hurtling space "                                                                                
[12] "also quite number real news footages broadcast accident took entire us nation days drama "                                                                                                                        
[13] " special effects digital domain standard music suits suspense drama well thanks filmmusic maestro james horner "                                                                                                  
[14] "watch launching sequence simply one breathtaking scenes film "                                                                                                                                                    
[15] " bad point though apollo features much technical jargon many physics concepts script "                                                                                                                            
[16] " consider scientifically illiterate might slight problem understanding caused caused course show "                                                                                                                
[17] " however just minor point just forget technical bullshit immerse drama suspense throughout film "                                                                                                                 
[18] " enjoy "                                                                                                                                                                                                          
