 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                          
 [2] " forewarned "                                                                                                                                                                                                                                                                                                 
 [3] "james tobacks return directing eightyear layoff two girls guy film comprised less just one guy blake robert downey jr two girls carla heather graham lou natasha gregson wagner one primary setting blakes absurdly spacious bachelor apartment great deal dialogue "                                         
 [4] "embracing near realtime approach highly theatrical feature completely hangs upon performances three actors quality dialogue written mr toback bantering characters "                                                                                                                                          
 [5] "fortunately films cast challenge wordy exchanges triad characters admittedly variable occasionally wickedly amusing "                                                                                                                                                                                         
 [6] " films setup fairly generic nature opens rather unpromisingly "                                                                                                                                                                                                                                               
 [7] " meet selfpossessed blonde carla feisty brunette lou waiting outside soho loft "                                                                                                                                                                                                                              
 [8] " engage idle chatter revealed theyre waiting respective boyfriends return airport doesnt take long come realisation theyre twotimed guy "                                                                                                                                                                     
 [9] " indignant catty duo break blakes loft await arrival confrontation "                                                                                                                                                                                                                                          
[10] " blake returns abode film hits stride "                                                                                                                                                                                                                                                                       
[11] "played magnificent bombast mr downey jr blake cad right captivatingly dynamic blusterous stealthy piece work bursts onto scene raises stakes new heights "                                                                                                                                                    
[12] " fascinating watch character natural habitat perhaps films best choice two girlfriends scamper hiding upon return allowing us size blake interactions others innate behaviour "                                                                                                                               
[13] "whether hes flamboyantly behind piano rollicking rendition vivaldi phone leaving messages beloveds carla lou unseen sickly mother never less wildly entertaining insightful "                                                                                                                                 
[14] "though point almost hoped film transform oneman show typical afternoon life blake will carla lou reveal sparks begin fly "                                                                                                                                                                                    
[15] " one great touches film blake startled carlas unannounced appearance begins verbally physically backpedal even realizes cats bag "                                                                                                                                                                            
[16] "doubleteamed understandably aggrieved women smirkingly inquisitive ferociously vengeful want justification ongoing hypocrisy increasinglyflustered blake weakly defends apologetic even selfrighteous declarations verbal jabs "                                                                              
[17] "surprisingly delightful waltz scathing witty banter shared trio characters two girls guy concludes first sequence unexpected apoplectic act outrageous audacity seemed nothing offlimits film "                                                                                                               
[18] "however itd unfeasible attempt string along carla lous outrage full featurelength movie gradually transforms sharing exploratory profundities nature fidelity relationships slowly surely begins unravel "                                                                                                    
[19] " dialogue becomes less less engaging clever films tempo loses liveliness dynamic characters evolves unconvincing fashion several sequences fall flat "                                                                                                                                                        
[20] "subtle notquitesubtle allusions made poster jules et jim hangs prominently wall secrets revealed barrel film toward uncompelling weepy finale "                                                                                                                                                               
[21] "one key turning point film kinky sex scene blake carla "                                                                                                                                                                                                                                                      
[22] "two girls guy embroiled bitter longrunning dispute mpaa regards scene contractuallyobligated deliver rrated film mr toback forced resubmit fourteen scaleddown versions steamy interlude mpaa withdrew nc rating favour r admittedly titillating net effect vignette films thematic narrative rather dubious "
[23] " anything two girls guy serves showcase phenomenal talents mr downey jr whose versatility put test film "                                                                                                                                                                                                     
[24] " plays gamut indignant humbled selfassured disconcerted yet acting gears shift smoothly registered "                                                                                                                                                                                                          
[25] " wonderful performance role customtailored mr toback wrote screenplay four days shortly mr downey jr arrested drug charges hard see echoes reality seeping character monologue mirrored reflection blakes selfchiding get shit together disquieting resonance "                                               
[26] " mr downey jr s showstopping performance undoubtedly primary strength film actresses solid broadlyobserved roles "                                                                                                                                                                                            
[27] "ms graham quickly becoming one americas daring actresses involving three successive risky projects two girls guy boogie nights quite sexually frank lost space screenplay penned akiva goldsman "                                                                                                             
[28] "shes quite appealing playing character dainty sultry "                                                                                                                                                                                                                                                        
[29] "meanwhile ms gregson wagner initially portrays lou unwarranted spunk audiences likely find either annoying like endearing "                                                                                                                                                                                   
[30] " tones substantially film progresses found fun watch artificially excitable chatterbox "                                                                                                                                                                                                                      
[31] " film reportedly shot eleven days filmed mostly sequence resultant artifacts rapid shoot evident throughout "                                                                                                                                                                                                 
[32] "two girls guy agile spontaneous sort feel one senses mr toback encouraged good deal improvisation three actors "                                                                                                                                                                                              
[33] " film transposed directly stage less intact doesnt feel constricted expansive apartment setting wellused vary background mr toback allows camera wander linger characters effective manner "                                                                                                                  
[34] "two girls guy falls short potential thanks stellar work mr downey jr still often enjoyable bitingly funny romp particularly watch surprisinglyresilient blake evasively try rationalize behaviour even turn tables girlfriends "                                                                              
[35] " im actor tells one point using ol triedandtested occupationalhazard defense "                                                                                                                                                                                                                                
[36] " actors lie "                                                                                                                                                                                                                                                                                                 
[37] " seem agree denzel washington "                                                                                                                                                                                                                                                                               
