 [1] "robert altmans cookies fortune rare movie depend sentimentality uplifting make viewers feel good "                                                                                                                           
 [2] " sunny delightful dreamy comedy filled lovely performances skillful direction topped understated clever extraordinary script "                                                                                               
 [3] " ensemble piece forced start slowly introduces us characters residing southern town called holly springs "                                                                                                                   
 [4] "first meet willie charles s dutton honest man slight drinking habit "                                                                                                                                                        
 [5] " see willie takes care elderly lady nicknamed cookie slowly losing grip sanity filled loneliness despair want dead husband "                                                                                                 
 [6] " cut camille glenn close obsessively directing play sister cora julianne moore "                                                                                                                                             
 [7] " briefly get acquainted emma liv tyler apparent relative cookie downbutnotout teen outcast still full love hope even though real place live "                                                                                
 [8] " also fleetingly see emmas lover jason chris odonnell ambitious far excitable young cop "                                                                                                                                    
 [9] " now one quarter two hour picture robert altman decides time set plot motion "                                                                                                                                               
[10] " see ecstatic cookie stare hopefully picture husband "                                                                                                                                                                       
[11] " exclaims come "                                                                                                                                                                                                             
[12] " puts pillow face shoots "                                                                                                                                                                                                   
[13] "soon niece camille stops get fruit salad bowl comes upstairs finds cookie dead flips "                                                                                                                                       
[14] "convinced suicide disgrace will none family eats suicide note convinces slightly slow yet sweet sister murder "                                                                                                              
[15] " makes sure stages like murder well scattering jewelry floor breaking cabinets windows doors throwing gun back yard "                                                                                                        
[16] " reasonable suspect willie immediately gets taken custody put jail cell know didnt cell stays open plays scrabble sheriff faithful emma "                                                                                    
[17] "meanwhile unperturbed camille continues nonetoosubtle manipulations trying cover murder time making easter play success "                                                                                                    
[18] " begins cookies fortune film aptly described critic scott renshaw southern spin fargo except one far funnier much enjoyable coen brothers darker somewhat disturbing slightly overrated escapade "                           
[19] "robert altmans slight picture ways reminiscent something like midnight garden good evil well films focus eccentricities residents southern us town "                                                                         
[20] "indeed characters cookies fortune loads fun observe portion fascinating surprisingly multi dimensional "                                                                                                                     
[21] "glenn close turns insubstantial terms career magnificent performance conniving camille also source good portion many laughs enjoy movie perfectly cast prolific aunt alexandria character endlessly obsessed family dignity "
[22] " equally essential role willie handled intangible grace veteran thespian charles s dutton mimic time kill "                                                                                                                  
[23] " nothing like movie leaves feeling warm fuzzy inside hours even days film ends "                                                                                                                                             
[24] "cookies fortune movie "                                                                                                                                                                                                      
[25] " loved light kindhearted approach altman whose last project dark intense drama gingerbread man took towards tricky subject matter "                                                                                          
[26] " enjoyed talented ensemble cast "                                                                                                                                                                                            
[27] " even liked trite south everybody related everybody cliche inevitably employed time movie draws close "                                                                                                                      
[28] "im sure cookies fortune allaround pleasing effect "                                                                                                                                                                          
[29] "perhaps good ol southern charm "                                                                                                                                                                                             
