 [1] "well ill damned "                                                                                                                                                                                                    
 [2] " canadians can make good movie "                                                                                                                                                                                     
 [3] " world coming end "                                                                                                                                                                                                  
 [4] " dont know apparently way stop "                                                                                                                                                                                     
 [5] " world information months rioting assorted chaos passed governments shut operations "                                                                                                                                
 [6] "yet handful toronto citizens life goes "                                                                                                                                                                             
 [7] " arent going crazy attacking people streets "                                                                                                                                                                        
 [8] "instead simply preparing end "                                                                                                                                                                                       
 [9] " engaging activities theyve always wanted gathering family friends others just seeking alone "                                                                                                                       
[10] " peoples lives however intersect final six hours "                                                                                                                                                                   
[11] "writerdirectorstar don mckellar crafted highly unique emotional film "                                                                                                                                               
[12] " main characters compelling try whatever need last night earth "                                                                                                                                                     
[13] "craig callum keith rennie tries fulfill sexual fantasies gas company employee david cronenberg calls every customer letting know gas will flowing end thanks business patrick mckellar just wants isnt much success "
[14] "even minor characters keep popping least expect tying everyone even closer "                                                                                                                                         
[15] "things seemed little hokey towards beginning film ultimately everything comes together nicely although happy film "                                                                                                  
[16] " moments understandably gutwrenching "                                                                                                                                                                               
[17] " story enhanced unexpected humor realistic performances particularly sandra oh whose character just trying get home husband end "                                                                                    
[18] " absolutely problem reason end world never given bother world ending exactly midnight toronto anyway "                                                                                                               
[19] " wonder sun never sets "                                                                                                                                                                                             
[20] "come midnight sun still shining brightly "                                                                                                                                                                           
[21] "maybe sun crashing earth "                                                                                                                                                                                           
[22] " knows "                                                                                                                                                                                                             
[23] "also comforting know mankinds final moments planet people will still gang street sheer purpose pushing car bus thats shot film mind "                                                                                
[24] " know people just stupid truly street tipping cars "                                                                                                                                                                 
[25] "last night available dvd universal home video "                                                                                                                                                                      
[26] " contains film fullscreen format includes original theatrical trailer "                                                                                                                                              
[27] "r "                                                                                                                                                                                                                  
