 [1] "notice review analysis exotica "                                                                                                                                                                              
 [2] " first part piece review second part contains analysis movie might construed spoilers "                                                                                                                       
 [3] " seen movie reading first part intend save second part discussion afterwards "                                                                                                                                
 [4] "starring bruce greenwood mia kirshner elias kosteas don mckellar arsinee khanijian sarah polley director atom egoyan screenplay atom egoyan "                                                                 
 [5] "exotica film grows retrospection "                                                                                                                                                                            
 [6] "exotica keeps viewer guessing relationship various characters film "                                                                                                                                          
 [7] " people know apart seems reason select set follow fictional account "                                                                                                                                         
 [8] " director hints possible solutions using multiline plot popular critics mystery train used good advantage quentin tarantino pulp fiction "                                                                    
 [9] "exotica reaches whole new dimension using technique "                                                                                                                                                         
[10] " end surprising see well pieces puzzle fit together spite apparent unconnectedness even misleading features "                                                                                                 
[11] " outofchronologicalorder technique become ever popular perhaps even de rigueur biographical films "                                                                                                           
[12] "similarly can now expect see movies future will use varying extent converging multiplots "                                                                                                                    
[13] " first glance multiplot puzzle exotica solved seems little left look "                                                                                                                                        
[14] " perceptive minds take time dig will rewarded interesting views life rather commentaries views life "                                                                                                         
[15] "exotica much worth seeing "                                                                                                                                                                                   
[16] " opened critics praise worldwide first saw mexico city last december "                                                                                                                                        
[17] " canada broke records movie kind prompted american distributor go wide release "                                                                                                                              
[18] "apart strong plot acting convincing soundtrack seems made movie "                                                                                                                                             
[19] " spoonfedentertainment crowd may appreciate movie thus might last little screen "                                                                                                                             
[20] " want try movie cut crowd originality ever rare means see exotica "                                                                                                                                           
[21] "analysis spoilers ahead "                                                                                                                                                                                     
[22] " behind complex plot exotica "                                                                                                                                                                                
[23] "first common theme quest gratification monetary means "                                                                                                                                                       
[24] " lone taxauditor repressed homosexual pet shop owner pregnant woman runs nightclub rich man club remodeled audience movie theatre use personal wealth buy palliative relief penuries soul "                   
[25] " quest gratification visual means people including sit watching exotica "                                                                                                                                     
[26] " regard exotica stands onlookers nightclub rich man looking silver mirrors poorrich people looking others people lives silver screen "                                                                        
[27] "exotica also stands unwanted society attention lives people tax auditor pet shop owner "                                                                                                                      
[28] "exotica customer agent looking pet shop owner turn looking core problems strip dancer tax auditor detached eye gay person attraction strip dancer interested avoiding jail personal relationship tax auditor "
[29] " exotica everybody watching worse everybody knows "                                                                                                                                                           
[30] "second exotica isolated people holding back feelings people voluntary involuntary means transfer view reality characters "                                                                                    
[31] " strip dancer becomes proverbial daughter dj becomes proverbial killer means breaking relationship father proverbial daughter "                                                                               
[32] " niece becomes baby sitter baby sitter becomes dancer dancer becomes proverbial daughter "                                                                                                                    
[33] " pet shop owner becomes proverbial dj finding proverbial daughter "                                                                                                                                           
[34] " chain made real imagined links coming around full circle just everything comes around fitting whole end movie "                                                                                              
