 [1] "wyatt earp lot tell little say "                                                                                                                      
 [2] " story legendary lawman runs three hours nine minutes thats long epicwannabe plays like tv miniseries movie "                                         
 [3] " story opens earp family farm young wyatt ready run away home "                                                                                       
 [4] " wants fight civil war dad hackman different ideas wants son study law "                                                                              
 [5] "time passes wyatt heads west returns home marry spell begins career law enforcement "                                                                 
 [6] " time costner brothers madsen david andrews linden ashby arrive tombstone wyatt tried hand everything hunting buffalo dealing cards "                 
 [7] "wyatt earp appealing places cast costumes cinematography overstated story overpowered score deaden emotional impact "                                 
 [8] " can moved scene scene scene swelling strings suffocating speeches "                                                                                  
 [9] "somber fine just ask clint eastwood film boasts one two three count em three hammy death scenes "                                                     
[10] "still little bit earp goes long way life times legendary lawman uninteresting stuff "                                                                 
[11] " uh unusual relations women example intriguing contrast characters credo nothing counts much blood "                                                  
[12] "equally amusing buffalohunting skinning "                                                                                                             
[13] "sequence decidedly nonpc "                                                                                                                            
[14] "director lawrence kasdan takes refreshingly realistic approach gunplay "                                                                              
[15] " infamous gunfight ok corral brutal brief devoid almost theatrics "                                                                                   
[16] "dont look much glorified violence "                                                                                                                   
[17] "despite large exclamation points story characters come life "                                                                                         
[18] " diverse cast includes everyone betty buckley mackenzie astin "                                                                                       
[19] "kevin costner good title role "                                                                                                                       
[20] "dances whitney nevers get steely role requires though transformation lighthearted law student stoic sheriff fun watch "                               
[21] " tougher perfect world "                                                                                                                              
[22] " foil dennis quaid pulled deniro losing pounds play tubercular terror doc holliday "                                                                  
[23] "gaunt gamely hes scene stealer whos seen little "                                                                                                     
[24] " familiar faces include tom sizemore looking like bruce mcgill bill pullman looking like jeff daniels lea thompson looking like someone lea thompson "
[25] " gene hackman isabella rosselini appear disappear like magic late entries catherine ohara jobeth williams surprisingly solid "                        
[26] "though story score shouldve tried less credits technical tops "                                                                                       
[27] "production designer ida random art director gary wissner costume designer colleen atwood vips helped spend mustve enormous budget "                   
[28] "clearly expense spared "                                                                                                                              
