 [1] " first heard kevin costner making movie called postman thought american version il postino "                                                                               
 [2] "starring costner "                                                                                                                                                         
 [3] "god help us "                                                                                                                                                              
 [4] " found remake postino postapocalyptic epic thought landworld "                                                                                                             
 [5] "please god make stop "                                                                                                                                                     
 [6] " turns postman much better film expected "                                                                                                                                 
 [7] "despite set movie heart western band thugs terrorizes peaceful villagers wandering hero opposes bandits inspires others fight back "                                       
 [8] " setting however allows familiar plot take greater significance american society collapsed due plagues wars survivors live behind barracades isolated villages "           
 [9] " struggle dead society reborn grand quality deserves epic scale costner grants "                                                                                           
[10] "costners nameless character wandering actor rides vast wasteland soon shanghaied service general bethlehem will patton former copymachine salesman turned bandit king "    
[11] " hero escapes discovers body dead postman "                                                                                                                                
[12] "taking uniform bag mail passes representative restored united states "                                                                                                     
[13] " shocked hope inspires people meets "                                                                                                                                      
[14] "one young disciple ford lincoln mercury larenz tate organizes fullscale postal service "                                                                                   
[15] "ford spreads postmans message hope bethlehem finds oncemeek villagers beginning resist rule "                                                                              
[16] " war breaks bethlehems army postal workers costners character steps legend created goes selfcentered loner leader revolution "                                             
[17] " lie restored united states becomes selffulfilling prophecy "                                                                                                              
[18] " postman odd blend bleak setting message wideeyed optimism sort sergio leone meets frank capra treatment hope renewal compelling "                                         
[19] " another knockoff road warrior like waterworld surprises viewer sensitively told story nobility emerging rubble "                                                          
[20] "tate standout movies large cast "                                                                                                                                          
[21] "ford lincoln mercury selfnamed polar opposite odog tates character debut film menace ii society tate makes fords innocent belief hope convincing odogs cynicism brutality "
[22] " performance sells movie "                                                                                                                                                 
[23] "interestingly tate moves usual streetsmart roles youthful optimism softeyed patton usually plays nice guys proves disarming villain "                                      
[24] "olivia williams makes film debut postmans love interest abby "                                                                                                             
[25] " first meet abby asks father child husband sterile "                                                                                                                       
[26] "predictably husband soon eliminated bandits abby thrown back company hero "                                                                                                
[27] "however relationship develops slowly emotional conflicts characters explored torn grief guilt anger resisting destiny "                                                    
[28] " postman costners best work thus far "                                                                                                                                     
[29] "perhaps alone gives us hope future "                                                                                                                                       
[30] " "                                                                                                                                                                         
[31] " "                                                                                                                                                                         
