 [1] " many people know james whale safe bet good chunk seen movies "                                                                                               
 [2] " believe semi biographical gods monsters whale wanted way "                                                                                                   
 [3] " insightful haunting exploration last days frankenstein bride frankenstein director notable introducing one first complicated gay characters hollywood movie "
 [4] "gods monsters interest biopic whales life tracks final days life probably better movie "                                                                      
 [5] " focus whales ian mckellen untraditional deceptive lust heterosexual gardener clayton boone brendan fraser "                                                  
 [6] " begins whale fairly talented artist aside director asking boone sit pose portrait "                                                                          
 [7] " first boone doesnt realize whale gay grows fascinated old man "                                                                                              
 [8] " discover whales sexual orientation dedicated protective maid lynn redgrave frightened refusing sit guy "                                                     
 [9] " comes back storm disgusted whales locker room talk "                                                                                                         
[10] "boone returns yet another time whale promises tone aforementioned locker room talk finds platonic relationship strengthening "                                
[11] "meanwhile jimmy suffering hallucinations mental attacks result stroke long ago "                                                                              
[12] " ailment leads desperation depression build point forced ask boone incredulously big favor "                                                                  
[13] " perhaps sensational gods monsters brendan frasers bravura performance seeing film intensely disliked young actor tendency ruin movies blast past example "   
[14] " surprised expressive actor proved "                                                                                                                          
[15] " impressive characters dialogue minimal mckellan talking "                                                                                                    
[16] " requires fraser act body language difficult skill master something proves capable well "                                                                     
[17] " ignore mckellans oscar nominated turn "                                                                                                                      
[18] " earned nomination touching performance although risk sounding like philistine chosen performance nazi apt pupil nomination understated compelling gem "      
[19] "whale dreaded remembered solely work hollywood horror genre thought hollywood equivalent battlefield "                                                        
[20] " rejoiced free reluctantly going receptions fellow movie people "                                                                                             
[21] " end perhaps killed memories hollywood war blending together form living nightmare "                                                                          
[22] " eugene novikov "                                                                                                                                             
