 [1] " initially set review film tag line going can believe whales can fly "                                                                                                                
 [2] " going can believe pastel triangles can fly "                                                                                                                                         
 [3] " going can believe wood sprites can fly "                                                                                                                                             
 [4] "finally just gave trying come tag line decided say "                                                                                                                                  
 [5] "theres lot flying going film "                                                                                                                                                        
 [6] " first host steve martin tells us original concept behind fantasia bring every year old segments retained new segments added "                                                        
 [7] "well apparently plan fell wayside approximately sixty years passed since original classic released "                                                                                  
 [8] "part might something cold reception film got first released grossing somewhere close original month release "                                                                         
 [9] "subsequent rereleases film elevated popularity film classic status finally achieved rightfully deserved "                                                                             
[10] " celebrate release updated version fantasia disney imax teamed present animated film fashion one seen six stories high "                                                              
[11] " exclusive four month engagement january st april th fantasia can seen many imax theaters across us "                                                                                 
[12] " engagement film will shown regular theaters "                                                                                                                                        
[13] " format effective film "                                                                                                                                                              
[14] " exceptions yes "                                                                                                                                                                     
[15] " first segment presented set beethovens fifth symphony "                                                                                                                              
[16] " hard describe exactly segment involves bunch brightly colored butterfly looking triangles flitting happily "                                                                         
[17] "everything seems going great little things ground erupts swarms evil black batlike triangles attack engulf lighter counterparts "                                                     
[18] "eventually shafts light help drive away evil batlike things peace returns butterfly things "                                                                                          
[19] "though segment isnt story driven images visually strong especially scene dark cloud bat things outlined blood red colors begin overtake skies "                                       
[20] " next segment set ottorino respighis pines rome "                                                                                                                                     
[21] " segment humpback whales swim happily ocean eventually emerge water fly around massive icebergs pepper oceanscape "                                                                   
[22] " whale calf gets scuffle nearby birds flight ends getting trapped giant iceberg smashes trying avoid birds attack "                                                                   
[23] " finally saved another liberating shaft light brethren take skies fly upper atmosphere frolic oceans clouds "                                                                         
[24] " visuals key segment especially whales involved "                                                                                                                                     
[25] "reportedly whales viewed imax screen certain sequences shown actual size "                                                                                                            
[26] " cgi whales look incredibly lifelike except googly cartoon eyes drawn onto images "                                                                                                   
[27] "one especially striking image involves giant shadow one whales cast wall iceberg whale calf tries find way parent "                                                                   
[28] "absolutely beautiful stuff "                                                                                                                                                          
[29] " third segment least eight segments set george gershwins rhapsody blue "                                                                                                              
[30] " segment designed tribute acclaimed caricaturist al hirschfeld intertwines four different stories sad souls living depression era new york "                                          
[31] "theres construction worker dreams jazz drummer outofwork sad sack dreams job young girl dreams spending time parents instead hustled schoolmarm nebbish dreams free overbearing wife "
[32] " wont go everything works fine disney tradition happy ending "                                                                                                                        
[33] "unfortunately story drags quite bit seems place within hyper reality rest segments "                                                                                                  
[34] "segment four set dmitri shostakovichs piano concerto animated version hans christian andersens steadfast tin soldier "                                                                
[35] " one legged toy tin soldier falls love windup clock ballerina assumes also one legged cant see leg extended behind much dismay evil jackinthebox jester "                             
[36] " jester knocks soldier window continues pursuing ballerina "                                                                                                                          
[37] "little jester know soldier deposited sewer journeyed pipelines swallowed fish captured sold owner set tin soldiers one legged one comes "                                             
[38] " soldier eventually saves day gets girl "                                                                                                                                             
[39] "although ending altered andersen story steadfast tin soldier decently told framework seven minute short "                                                                             
[40] " children may find jester little frightening otherwise segment well made "                                                                                                            
[41] "segment five funniest bunch "                                                                                                                                                         
[42] "set camille saintsaens carnival animals segment features flamingo torturing fellow flamingos yoyo trying perform choreographed dance number "                                         
[43] " shortest clip group throwback alligators hippos dancing first fantasia still well accomplished welcome bit comedy "                                                                  
[44] "segment six segment repeated original fantasia one people remember sorcerers apprentice "                                                                                             
[45] " story recognizable draw seeing enormous imax screen remastered stereo "                                                                                                              
[46] "unfortunately segment wasnt made presented large format film considering shot full frame exhibits large amounts grain "                                                               
[47] " least two occasions images hard make due excessive grain "                                                                                                                           
[48] "similar problems crop modern day releases projected screens large image shown accurately one seems notice strange reason anomaly common many plus screen theaters "                   
[49] "segment seven set sir edward elgars pomp circumstance march fantasia segment feature stock disney character "                                                                         
[50] "donald duck stars assistant noah whose task loading animals onto ark "                                                                                                                
[51] " loading donald wife lose sight believe one didnt make boat "                                                                                                                         
[52] " constantly missing due comic misadventures mainly involving donald crushed animals various manners "                                                                                 
[53] "despite slapstick style comedy piece displays emotion final scene many tearjerkers foisted audiences days "                                                                           
[54] "powerful stuff "                                                                                                                                                                      
[55] "segment eight brings whole new meaning clich saving best last "                                                                                                                       
[56] "set igor stravinskys firebird elk awakens forest sprite proceeds change wintery landscape beautiful springtime landscape "                                                            
[57] "trees bloom flowers blossom everything seems going well sprite becomes inquisitive large mountain housing strange formation "                                                         
[58] " sprite examines formation awakens becomes titular firebird "                                                                                                                         
[59] " stunning spectacle firebird rears back unleashes fire storm destroys everything path including everything sprite worked create "                                                     
[60] " amazing animation present well worth ten dollars ticket alone although brush strokes evident one scene due enlargement film "                                                        
[61] " host segments largely pun intended throwaways although steve martins clip pretty funny "                                                                                             
[62] " sure stay credits little humor martin "                                                                                                                                              
[63] "penn teller usually funny gags seem routine therefore uninteresting "                                                                                                                 
[64] " best segment comes people bette midler gets tell us abandoned segments never made drawing board "                                                                                    
[65] "pieces like flight bumblebee take four horsemen set wagners ride valkyries strange segment prepared s salvador dali never shown previewed teased may appear future installments "     
[66] " fans visual stimulation classical music fantasia perfect way spend afternoon "                                                                                                       
[67] " film also decent family entertainment contains little objectionable material "                                                                                                       
[68] " mentioned earlier review ten dollars seems like much spend film fear run imax theaters going brought regular theaters "                                                              
[69] " must stress best way see film imax screen though "                                                                                                                                   
[70] " can believe whalestriangle thingssprites can fly "                                                                                                                                   
[71] "g "                                                                                                                                                                                   
