 [1] " first saw previews ron howards latest film expectations discouragingly low "                                                                                        
 [2] " show nothing "                                                                                                                                                      
 [3] "sounds like seinfeld "                                                                                                                                               
 [4] " guy whose entire life broadcast hours day "                                                                                                                         
 [5] "sounds like truman show "                                                                                                                                            
 [6] " hollywood sooner one production company puts animated feature ants another puts one bugs "                                                                          
 [7] " pleasantly surprised edtv turns fresh insightful often times hilarious film follies instant celebrity "                                                             
 [8] " writing howards longtime collaborators lowell ganz babaloo mandel right money howard credited giving subject matter fresh focus "                                   
 [9] " hands lessexperienced director edtv easily flavor yesterdays meatloaf "                                                                                             
[10] " true tv cable ratings threatened gardening channel apparently people rather watch soil northwest broadcasting company looking novel concept attract viewers "       
[11] "program director cynthia topping ellen degeneres comes idea putting nobody air broadcasting every waking sleeping moment "                                           
[12] " hook find regular guy someone normal people can relate "                                                                                                            
[13] " scouting possible candidates cynthias camera crew discover ed pekurny pig brother ray woody harrelson bar ray believes takes fifteen plus minutes fame "            
[14] " watching videotape shows producers taken ed ray "                                                                                                                   
[15] "hes cute says wrong things hes usda hick "                                                                                                                           
[16] "cynthias boss played rob reiner gives show week deliver goods tough going early stages "                                                                             
[17] " exciting thing happens ed brushes teeth "                                                                                                                           
[18] " action shot "                                                                                                                                                       
[19] "wags one production assistants couple pop tarts jump toaster "                                                                                                       
[20] " get idea "                                                                                                                                                          
[21] " soon enough thingsnielsenboosting kinds thingsstart happen unassuming san francisco video store clerk true tv cameras right document "                              
[22] "eds privacy longer newfound fame starts negative impact family life little dignity left trampled media "                                                             
[23] " ed go "                                                                                                                                                             
[24] " can sure pollsters list "                                                                                                                                           
[25] " film exceedingly well cast performers consistently excellent "                                                                                                      
[26] "matthew mcconaughey provides face body language lovable texan accent fill shoes americas latest phenomenon "                                                         
[27] " harrelson look like really brothers "                                                                                                                               
[28] "sally kirkland noteworthy difficult role eds mother martin landau one films highlights al eds ailing stepfather "                                                    
[29] "jenna elfman tvs dharma greg proves surprisingly worthy company kirkland landau although alpine eyebrows get little distracting "                                    
[30] "even degeneres reiner better youd expect "                                                                                                                           
[31] " writerdirectorcomedian albert brooks made zany little film called real life smalltime opportunist makes realtime documentary typical american family "              
[32] " scenes eds family sitting around dinner table feasting kentucky fried chicken waxing idiotic play like bigbudget variant film paralleling wickedly inventive humor "
[33] " films albert brooks real life funny absurd "                                                                                                                        
[34] " funniestand scariestthing edtv absolutely believable "                                                                                                              
