 [1] " man presented us henry portrait serial killer "                                                                                                                                               
 [2] "comes wild tale set within elite white trash floridas south coast "                                                                                                                            
 [3] "plot guidance counselor dillon accused raping one students "                                                                                                                                   
 [4] " happens daughter one wealthiest women florida "                                                                                                                                               
 [5] " counselor brought court charges another white trash girl campbell also joins rape fingerpointing club "                                                                                       
 [6] " story unfolds find many things arent exactly seem thats much say without ruining anything "                                                                                                   
 [7] "critique good little flick slows certain points runs tad long generates enough twists turns keep people interested throughout "                                                                
 [8] "mind see many people liking takes one many twists turns hey happen like kind thing "                                                                                                           
 [9] " besides twists turns movie managed remain within realm believability scathingly close even explained many turns showcase missed scenes credit crawl end film leave theatre see credits "      
[10] "really clear stuff "                                                                                                                                                                           
[11] " acting good campbell transforming good girl stereotypical role potsmoking gothlooking white trash chick good time "                                                                           
[12] "denise richards starship troopers fame solidifies hollywoods jellydonut pinup girl moment proves breast implants neednt lead lawsuits "                                                        
[13] "bacon solid dillon continuing prove inability age whole wide wondering world "                                                                                                                 
[14] "sprinkle story bunch o shots alligators peeking swamp waters bacon showing world size dingdong really need see couple lesbian kissing scenes menageatrois youve got decent time movie theatre "
[15] " side soundtrack prominent slick thought theresa russell real name theresa paup seems lost way every way possible ooooh "                                                                      
[16] " almost forgot bill murrays exquisite role downtrodden lawyer agrees defend dillon court "                                                                                                     
[17] "murray actually added extra little spice humour allowed film affirm position quirky little noirish tale sex greed mystery "                                                                    
[18] "little known facts neve campbell specified nonnudity clause contract shes also born guelph ontario go "                                                                                        
[19] "hoser "                                                                                                                                                                                        
[20] "director john mcnaughton says deleted scene shown matt dillon kevin bacon showering together gratuitous "                                                                                      
[21] "kevin bacon plays band brother called bacon brothers married actress kyra sedgwick game based called six degrees kevin bacon "                                                                 
