 [1] "cinematically speaking gordon parks original shaft great film "                                                                                                                                                                                  
 [2] " bit slow times little rough around edges builds climactic explosion violent action spirited formulaic yarn initially brought ernest tidymans black private dick thats sex machine chicks big screen hardly qualifies groundbreaking filmmaking "
 [3] "yet nearly years original releaseand long genre spawned blaxploitation died decadethe shaft remains extremely entertaining watch never completely escaped pop culture consciousness "                                                            
 [4] " reason one explains films connection moviegoers far beyond target africanamerican audience title character john shaft "                                                                                                                         
 [5] " fact strong smart virile superbly suave shaft black primary factor historical cultural significance broadbased appeal stems idea transcends race comfortable confident proud anyone problem simply kiss ass "                                   
 [6] " fact also explains john singletons yg revival john shaft enjoyable "                                                                                                                                                                            
 [7] "much like film started franchise shafts plot doesnt score points originality department energy level smooth attitude distinguishes standard crime thrillers "                                                                                    
 [8] "contrary reported past months shaft remake original film sequelspinoff "                                                                                                                                                                         
 [9] " star audiences know love original film first two sequels s shaftsbigscore s shaftinafrica richard roundtree plays john shaft still runs private investigation firm new york city "                                                              
[10] "however focus film lies samenamed nephew samuel l jackson film begins cop whose takenocrap demeanor constantly leaves odds superiors "                                                                                                           
[11] " privileged young man named walter wade jr christian bale accused brutal raciallymotivated murder allowed released bail disgusted shaft leaves force decides take matters hands p "                                                              
[12] " thats easier said done also standing way shaft way justice peoples hernandez jeffrey wright dominican gangster hired walter rub waitress diane palmieri toni collette eyewitness crime "                                                        
[13] "peoplesor rather wright also big obstacle jacksons way toward commanding film "                                                                                                                                                                  
[14] "peoples outrageous comic character running time wright insanely funny stages "                                                                                                                                                                   
[15] "however isnt funny make character come goofy buffoonish peoples eventual turn serious villainy seamless believable probably case played original casting choice john leguizamo bowed filming "                                                   
[16] " easy task steal film jackson usual captivating charismatic self thats exactly wright doesand makes seem effortless "                                                                                                                            
[17] " talented ensemble surrounding surprising jacksons impressive star turn doesnt quite tower rest strongly complemented wright costars "                                                                                                           
[18] "bale already proven ability play uppity killer americanpsycho follows performance similar less exaggerated character spoton "                                                                                                                    
[19] "collette lends film convincing welcome dramatic weight frightened conflicted diane "                                                                                                                                                             
[20] "busta rhymes brings good laughs shafts sidekick rasaan "                                                                                                                                                                                         
[21] "registering stronglybut fault ownare vanessa williams tough narcotics cop carmen vasquez dismayingly underused roundtree simply given little script credited richard price singleton shane salerno "                                             
[22] " jackson also little sense throwaway footage opening credits aside shaft doesnt even one sex scene "                                                                                                                                             
[23] " singleton proves ability actors especially good thing since hes really action director "                                                                                                                                                        
[24] " say bad job numerous gunfights requisite foot car chases "                                                                                                                                                                                      
[25] " move well film whole reasonably exciting just theres nothing terribly inventive "                                                                                                                                                               
[26] " set pieces functional way script work well enough theyre unsurprising conventional "                                                                                                                                                            
[27] " theres anything shaft movie well make familiar look cooland shaft keeps tradition alive "                                                                                                                                                       
[28] " slick title sequencescored course isaac hayes everinfectious oscarwinning theme song singleton wisely sprinkles throughout filmon film looks great easily sweeps viewer world energetic bravado "                                               
[29] "even common visual trick employing fancy wipes scene transitions feels unforced feels necessary "                                                                                                                                                
[30] "style doesnt exactly make great film comes shaft thats little consequence "                                                                                                                                                                      
[31] " matters else good time latest shaft just first many fun rides bad muthashut mouth "                                                                                                                                                             
