 [1] " crazybeautiful suffers damnedifyoudo damnedifyoudont syndrome "                                                                                                                                                     
 [2] " spate flighty cookiecutter teen films romantic drama addresses alcoholism parental loss along love story "                                                                                                          
 [3] " rather applaud production early reviews dismissed overblown afterschool special "                                                                                                                                   
 [4] "even worse wake federal trade commission hearings blasted industry marketing violent sexual movies young people studio got case heebiejeebies forced director john stockwell reshoot scenes cut footage tone things "
 [5] "needless say filmmaker frustrated "                                                                                                                                                                                  
 [6] " trying make cautionary tale told newsweek couldnt show behavior trying caution people away "                                                                                                                        
 [7] "regardless film works thanks exceptional performances lead players script determined transcend stereotypes "                                                                                                         
 [8] " crazybeautiful quality fare good enough halfexpected summer movie crap police walk press screening confiscate print failure incorporate explosions poop jokes "                                                     
 [9] "set pacific palisades calif story follows burgeoning relationship two teens "                                                                                                                                        
[10] "every morning evening carlos nunez jay hernandez takes twohour bus ride order attend pacific high school "                                                                                                           
[11] " honor student star athlete carlos responsible modest focused works securing place naval academy "                                                                                                                   
[12] " well meets nicole oakley kirsten dunst daughter rich congressman bruce davison "                                                                                                                                    
[13] "nicole drunk apparently hellbent selfdestruction "                                                                                                                                                                   
[14] "carlos smart enough recognize danger getting involved human greatest smile "                                                                                                                                         
[15] "plus father notes real knack drawing others downward spiral "                                                                                                                                                        
[16] " save last dance crazybeautiful god hate lowercase titles takes situations look stale paper makes seem fresh "                                                                                                       
[17] " noting racial social differences kids screenplay dances around clich s still several mtv moments though "                                                                                                           
[18] " filmmakers make point give characters crucial extra bit shading turns individuals instead stereotypes actors take "                                                                                                 
[19] "cuteasabutton dunst forces viewer share pain beneath nicoles behavior "                                                                                                                                              
[20] " credible enough dad urges carlos get away drags hoped boy listen "                                                                                                                                                  
[21] " carlos hernandez revelation "                                                                                                                                                                                       
[22] "hunky without looking like product hollywood design team young man can really act will see lot guy future "                                                                                                          
[23] "aside title biggest problem crazybeautiful ending wraps everything fast tidy "                                                                                                                                       
[24] " carefully presenting credible characters situations conclusion feels rushed lazy "                                                                                                                                  
[25] "still kind film deserves accolades critics instead cheap shots "                                                                                                                                                     
[26] " afterschool special ass crazybeautiful real deal "                                                                                                                                                                  
