 [1] "youve got think twice go see movie title like maximum risk "                                                                                                                        
 [2] " title generic "                                                                                                                                                                    
 [3] " meaningless "                                                                                                                                                                      
 [4] " cant believe good business "                                                                                                                                                       
 [5] " pick phone dial film world supposed remember new jeanclaude van damme movie one looked kind cool trailers directed chinese hot shot called geez maximum risk "                     
 [6] "yuck "                                                                                                                                                                              
 [7] " movie deserves attention "                                                                                                                                                         
 [8] " sweet bloody thrills one beats summer blockbuster competition handsdown "                                                                                                          
 [9] " mission impossible came close delivering skillful thriller ill give maximum risk edge simply slick tom cruise picture therefore gratifying execution "                             
[10] "much surprise van damme continues develop pleasant unpretentious action hero "                                                                                                      
[11] " track record isnt solid schwarzeneggers hes hell lot adventurous arnold "                                                                                                          
[12] " van damme worked hong kongs premier hardcore action director john woo fairly lame movie called hard target "                                                                       
[13] " can find bootleg copy woos radically different directors cut much better eventually released "                                                                                     
[14] " followup directed ringo lam city fire full contact whose hong kong films distinguished action pictures consistently played second fiddle woos operatic offerings "                 
[15] " surprise maximum risk effective hollywood action flick either hard target woos subsequent broken arrow "                                                                           
[16] "heres rundown "                                                                                                                                                                     
[17] "van damme plays french cop named alain moreau shaken policeman friend jeanhugues anglade finds corpse thats alains exact double "                                                   
[18] "turns alain separated birth twin brother michael killed russian heavies strangely american looking cops "                                                                           
[19] "alain investigating "                                                                                                                                                               
[20] " finds michael booked flight new york city received message someone named alex bohemia "                                                                                            
[21] "assuming michaels identity alain flies new york gets tangled michaels girlfriend natasha henstridge fbi russian mob little odessa "                                                 
[22] "thats much need know "                                                                                                                                                              
[23] " story adequate overly involving major plot points basically explained twice just case go popcorn wrong moment "                                                                    
[24] "theres love story didnt find terribly convincing partly exmodel henstridge highstrung highprofile debut precious lines alien ice queen species "                                    
[25] "shes great look can certainly read line cant really described acting "                                                                                                              
[26] " course acting isnt really hired lost track whether shirt comes often van dammes "                                                                                                  
[27] " movie exceptionally violent bordering gratuity "                                                                                                                                   
[28] " keep mind planning date "                                                                                                                                                          
[29] " stunts spectacular fact can spot van dammes standin makes work less impressive "                                                                                                   
[30] "theres much can car wreck movie makes crisp effective use pileups handful frenzied destruction derbies "                                                                            
[31] " lam surprising innovative sense exactly camera go catch bit action "                                                                                                               
[32] " main difference lam woo believe woo relies sheer spectacle gas action show pieces lam figured using cinematic space doublebarreled points view make things run "                   
[33] "dont get wrong chow yunfat soars space pumping bullets two pistols chewing toothpick glass confetti littering air around woos hardboiled amazing moment "                           
[34] " moment thats hard reproduce hollywood "                                                                                                                                            
[35] " one thing hollywood doesnt yet chow yunfat "                                                                                                                                       
[36] " woos hollywood movies look like work talented upstart maximum risk surprisingly confident picture "                                                                                
[37] " first shot film awkward overhead view chase streets european city lams use odd camera angles becomes efficient later "                                                             
[38] " film editing particularly savvy complement lams shooting style accentuating rather amplifying action "                                                                             
[39] " performances used fine tuning particular theres annoying overwritten manhattan cab driver early scenes toned jettisoned completely movie doesnt always overcome limitations genre "
[40] " story little mundane although effective moments involving van dammes unrequited feelings toward brother never knew "                                                               
[41] " often hollywood cranks truly satisfying action picture doubly surprising one come mere whisper publicity "                                                                         
[42] "van damme fans treat may well mans best movie international action buffs will doubt savor flavorful hong konghollywood hybrid "                                                     
