 [1] " note spoilers regarding films climax election course "                                                                                                                                                                           
 [2] " see matthew broderick man torn primal state hes unfaithful wife lied manipulated students token theyve demeaned masculinity selfrespect desperate attempt changing world "                                                       
 [3] " yet equates cause pain torment tracy flick reese witherspoon "                                                                                                                                                                   
 [4] " matter many students come gone disappointed educator shes real threat "                                                                                                                                                          
 [5] " give divulge shes won lone vote brodericks mccalister turns defeat sees tracys euphoric celebration outside corridor says "                                                                                                      
 [6] " fact simultaneously lusts ideologically illustrates freudian foundation entitlement men matter obscure relationships traditional expectation success usurp surpass women proverbial industry "                                   
 [7] " cant go higher "                                                                                                                                                                                                                 
 [8] " wont allow "                                                                                                                                                                                                                     
 [9] " whats amazing election every word criticism drawn rather opaque metaphor "                                                                                                                                                       
[10] "early film learn tracy romantically sexually involved now departed teacher "                                                                                                                                                      
[11] " like payne taylor coscreenwriter taken tracy girl desperate friendship loyalty almost perversely drawn mythological pattern kids utterly rejected peers found sitting teachers lunch table fitting unlikely extreme protagonist "
[12] " amazing compassion seems real us merely happened splashed front pages around nice persona people easily dismiss truly wayward deeds characters "                                                                                 
[13] " mandy barnetts youll teacher playing winsomely closing credits payne skewers tenets detractors final viscous injection bittersweet irony "                                                                                       
[14] "sexuality though basis paynes satire success "                                                                                                                                                                                    
[15] " also makes telling point politics friendship class boundaries "                                                                                                                                                                  
[16] "satire required anyway take seriously act audience "                                                                                                                                                                              
[17] " fine line straddle films ignore altogether drop dead gorgeous leaps infuriatingly mind "                                                                                                                                         
[18] "payne taylor hit right chord characters real people neither perfect rather leads flawed misguided individuals retain somewhat noble intentions heart "                                                                            
[19] " sympathize still satire idiosyncratic behavior wrongdoing taken extreme audience knowingly chuckle also reflect meditate "                                                                                                       
[20] "minus half point though payne admitting seen ferris buellers day "                                                                                                                                                                
[21] "whatever "                                                                                                                                                                                                                        
