 [1] " dont box kid gloves "                                                                                                                                                                
 [2] " dont play nice im nice guy never ever go easy film "                                                                                                                                 
 [3] " consider breech sort code ethics movie critic "                                                                                                                                      
 [4] "however favors often come form points hand certain groups due artistic bravery "                                                                                                      
 [5] "rigormortis production company prime example money need motivate filmmaking gets several points time "                                                                                
 [6] " still however will go easy "                                                                                                                                                         
 [7] " recently sent vhs copy america trilogy begins quite wittily disclaimer trying undermine america making film decided spend hour day watching "                                        
 [8] " famous lines many martyrs regrets "                                                                                                                                                  
 [9] "well regrets point previous sentence "                                                                                                                                                
[10] " point america film critical standpoint entirely disappoint "                                                                                                                         
[11] "sure risky use vhs instead super mm mm pain natural light one annoying things public access films movie fairly enjoyable "                                                            
[12] " america concerns government agent needless murder book containing everything unabombers manifesto apple computer profit report "                                                     
[13] "like previous films rigormortis reviewed displays offkilter humor intelligence succeeds making laugh countless studio films fail "                                                    
[14] " best way see film parody countless conspiracy films drowned since paranoia s "                                                                                                       
[15] " dying movement day started paranoid thrillers government always covering something favorite word roswell "                                                                           
[16] " america line roswell highly absent "                                                                                                                                                 
[17] " ten minute running time america effortlessly sidesteps every clich conspiracy films fell makes jokes time provides us funny memorable characters "                                   
[18] " seen movies gone two hours characters couldnt care less "                                                                                                                            
[19] " film previously stated concerns federal agent peter roach obsessed librarian meri stevens mystery man joe kaczkowski two people obsessed silence library robb sherman kevin flowers "
[20] " plot book containing secrets anarchists hidden public library can viewed "                                                                                                           
[21] " go delightful parody "                                                                                                                                                               
[22] " federal agent claims sovereign right alter truth librarian goes diatribe sanctity books "                                                                                            
[23] " spend time laughing fairly idiotic jokes performed much well considering lack coaching cast "                                                                                        
[24] "although actors actresses small roles give whole new meaning noname ends noname people good job delivering better performances comic villains half crap hollywood turns "             
[25] " dont url know offhand give locate film online "                                                                                                                                      
[26] " can say find previous reviews lauto les xfiles look rigormortis productions site "                                                                                                   
[27] " almost much fun film "                                                                                                                                                               
