 [1] "wow movie "                                                                                                                         
 [2] " everything movie can funny dramatic interesting weird funny weird strikingly original "                                            
 [3] "yep pretty much describes movie "                                                                                                   
 [4] " starts like regular movie ends one weirdest funniest original movies ever seen "                                                   
 [5] " boggles mind wonder get movies like often "                                                                                        
 [6] "besides one best films year john malkovich may well one best movies ever "                                                          
 [7] "period "                                                                                                                            
 [8] " many good movies one pick time favorite "                                                                                          
 [9] "john cusack plays puppeteer craig schwartz man job search job "                                                                     
[10] " wife lotte schwartz played completely unnoticeable cameron diaz looks like something streets animal lover every kind animal think "
[11] "craig finds job file floor business building "                                                                                      
[12] " pry open elevator doors open reaches floor eight floor just floor "                                                                
[13] " hired year old boss orsen bean filer "                                                                                             
[14] " office discovers little door boarded hidden "                                                                                      
[15] " curiosity opens starts crawl toward gets sucked end ends john malkovichs mind "                                                    
[16] "fifteen minutes later shot onto side new jersey turnpike "                                                                          
[17] " returns tell coworker maxine catherine keener found portal will lead john malkovichs mind doesnt believe sees changes mind "       
[18] "lotte also finds portal discovers someone else good "                                                                               
[19] "john malkovich course idea going end bizarre film many twists turns dont know really happened "                                     
[20] "john cusack outstanding utterly believeable role play "                                                                             
[21] " fits role perfectly brilliantly cast "                                                                                             
[22] "cameron diaz outstanding utterly one worlds prettiest women made unnoticeable unattractive "                                        
[23] " however gives comic performance easily best role date "                                                                            
[24] "catherine keener funny sexy maxine course best thing movie magic john malkovich brilliant movie plays big time homage master "      
[25] " whole group combined gives us wonderfully funny movie also smart clever "                                                          
[26] "spike jonze three kings makes fabulous directing debut fantastic job directing new classic film "                                   
[27] " lets viewer go trip well let viewer know watching movie "                                                                          
[28] " time ending rolled around head spinning disbelief good film "                                                                      
[29] " screenplay written charlie kaufman hilarious often thoughtprovoking "                                                              
[30] " film also soft side even though ending surprising also little sad heartwarming "                                                   
[31] " whole movie fantastic rolling isles "                                                                                              
[32] " cameron diazs appearence john malkovichs explorations laughed hard may well funny good gets funniest "                             
[33] " isnt slow point movie overused idea "                                                                                              
[34] " cliches except fact original inventie witty smart movie ive seen long time "                                                       
[35] " found amazed everything direction acting writing whole idea movie "                                                                
[36] " end wonder hollywood doesnt want make movies like anymore "                                                                        
[37] " dont "                                                                                                                             
[38] " filmmakers watch movie get ideas movies come "                                                                                     
[39] " surprise hit american beauty "                                                                                                     
[40] " john malkovich top movies year top best films ever made "                                                                          
[41] " something movies playing now "                                                                                                     
[42] " fact may well best movie right now "                                                                                               
[43] " highly recommend john malkovich doubts will disappointed "                                                                         
